HNGR
LATEST_ANNOUNCEMENT_DT
4/29/1996
8/5/1996
11/8/1996
3/7/1997
5/2/1997
7/21/1997
10/30/1997
3/9/1998
4/30/1998
7/27/1998
10/28/1998
3/1/1999
5/3/1999
8/9/1999
11/8/1999
3/30/2000
5/8/2000
8/11/2000
11/13/2000
4/2/2001
5/15/2001
8/15/2001
11/12/2001
3/13/2002
5/13/2002
7/31/2002
10/31/2002
2/26/2003
4/30/2003
7/29/2003
10/30/2003
2/25/2004
4/28/2004
8/16/2004
10/27/2004
2/28/2005
5/2/2005
7/27/2005
10/26/2005
3/1/2006
4/26/2006
7/26/2006
10/25/2006
2/13/2007
5/7/2007
7/30/2007
10/29/2007
2/11/2008
4/28/2008
7/29/2008
10/27/2008
2/10/2009
4/27/2009
7/28/2009
10/26/2009
2/10/2010
4/26/2010
7/27/2010
10/18/2010
2/9/2011
4/27/2011
7/27/2011
10/26/2011
2/8/2012
5/2/2012
8/1/2012
10/31/2012
2/13/2013
5/1/2013
7/31/2013
10/29/2013
2/12/2014
5/5/2014
8/7/2014
