PERY
LATEST_ANNOUNCEMENT_DT
5/23/1996
9/4/1996
12/2/1996
3/11/1997
5/21/1997
8/20/1997
12/3/1997
3/11/1998
5/21/1998
9/14/1998
11/24/1998
3/12/1999
5/27/1999
8/24/1999
11/23/1999
3/21/2000
5/23/2000
8/23/2000
11/21/2000
3/27/2001
6/12/2001
9/14/2001
12/17/2001
3/18/2002
5/21/2002
8/21/2002
11/19/2002
3/10/2003
5/21/2003
8/27/2003
11/19/2003
4/7/2004
5/21/2004
8/23/2004
11/22/2004
3/22/2005
5/24/2005
8/23/2005
11/21/2005
3/21/2006
5/22/2006
8/22/2006
11/21/2006
3/19/2007
5/21/2007
8/20/2007
11/19/2007
3/17/2008
5/21/2008
8/22/2008
11/20/2008
3/19/2009
5/28/2009
8/19/2009
11/18/2009
3/19/2010
5/20/2010
8/25/2010
11/17/2010
3/18/2011
5/23/2011
8/18/2011
11/17/2011
3/22/2012
5/17/2012
8/16/2012
11/15/2012
3/21/2013
5/23/2013
8/22/2013
11/21/2013
4/3/2014
5/22/2014
8/21/2014
11/20/2014
4/2/2015
5/14/2015
8/20/2015
11/19/2015
4/12/2016
05/19/2016
08/18/2016
11/17/2016
03/22/2017
