VIVO
LATEST_ANNOUNCEMENT_DT
4/19/1996
7/22/1996
11/11/1996
1/20/1997
4/23/1997
7/21/1997
11/12/1997
1/21/1998
4/21/1998
7/27/1998
11/13/1998
1/28/1999
4/21/1999
7/22/1999
11/17/1999
1/20/2000
4/20/2000
7/21/2000
11/16/2000
2/9/2001
4/24/2001
7/24/2001
11/14/2001
1/22/2002
4/23/2002
7/23/2002
11/13/2002
1/21/2003
4/24/2003
7/24/2003
11/18/2003
1/22/2004
4/22/2004
7/22/2004
11/17/2004
1/20/2005
4/21/2005
7/21/2005
11/10/2005
1/19/2006
4/20/2006
7/20/2006
11/15/2006
1/18/2007
4/19/2007
7/20/2007
11/14/2007
1/22/2008
4/17/2008
7/17/2008
11/12/2008
1/22/2009
4/16/2009
7/16/2009
11/12/2009
1/21/2010
4/20/2010
7/20/2010
11/11/2010
1/20/2011
4/21/2011
7/21/2011
11/10/2011
1/25/2012
4/26/2012
7/26/2012
11/9/2012
1/23/2013
4/25/2013
7/25/2013
11/7/2013
1/22/2014
4/24/2014
7/24/2014
11/6/2014
1/22/2015
4/23/2015
7/23/2015
11/5/2015
1/27/2016
05/26/2016
07/28/2016
11/10/2016
01/25/2017
04/27/2017
