SSMR
LATEST_ANNOUNCEMENT_DT
4/26/1996
7/29/1996
11/12/1996
2/14/1997
4/28/1997
8/7/1997
10/23/1997
2/23/1998
4/20/1998
7/31/1998
11/12/1998
3/15/1999
5/14/1999
7/28/1999
11/10/1999
3/17/2000
5/12/2000
8/18/2000
11/13/2000
3/16/2001
3/31/2001
8/20/2001
11/16/2001
