,JASA,US,Equity,,,
,Date,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
JASA,03/08/1996,12.75,12.875,12.5,12.625,3300
JASA,03/11/1996,12.375,12.375,12,12.375,17700
JASA,03/12/1996,12.25,12.625,12.25,12.625,2900
JASA,03/13/1996,12.5,12.5,12.375,12.375,3200
JASA,03/14/1996,12.5,12.75,12.5,12.625,5200
JASA,03/15/1996,12.625,12.625,12.5,12.5,6500
JASA,03/18/1996,12.5,12.5,12.5,12.5,400
JASA,03/19/1996,12.5,12.5,12.5,12.5,1600
JASA,03/20/1996,12.375,12.375,12.25,12.25,2700
JASA,03/21/1996,12.25,12.375,12.125,12.375,13000
JASA,03/22/1996,12.25,12.375,12.125,12.25,7700
JASA,03/25/1996,12.125,12.125,11.875,12,3400
JASA,03/26/1996,11.875,12,11.875,12,1800
JASA,03/27/1996,12,12,11.875,12,10800
JASA,03/28/1996,11.75,11.75,11.75,11.75,4700
JASA,03/29/1996,11.5,11.625,11.5,11.5,11300
JASA,04/01/1996,11.375,11.375,11.125,11.125,11500
JASA,04/02/1996,11.125,11.125,10.875,11,1900
JASA,04/03/1996,11,11,11,11,1500
JASA,04/04/1996,11,11,10.875,11,17100
JASA,04/08/1996,10.875,10.875,10.75,10.75,14900
JASA,04/09/1996,10.75,10.75,10.375,10.375,58200
JASA,04/10/1996,10.375,10.375,10.25,10.25,160300
JASA,04/11/1996,10.375,10.875,10.375,10.875,339400
JASA,04/12/1996,11,11.25,11,11.25,20700
JASA,04/15/1996,11.125,11.125,11.125,11.125,1600
JASA,04/16/1996,11.25,11.375,11,11,2500
JASA,04/17/1996,10.875,10.875,10.625,10.875,4600
JASA,04/18/1996,10.875,10.875,10.125,10.375,5600
JASA,04/19/1996,10.625,10.625,10.375,10.5,11600
JASA,04/22/1996,10.5,10.5,10.125,10.25,12000
JASA,04/23/1996,10.25,10.25,10.125,10.25,17400
JASA,04/24/1996,10,10.125,10,10.125,6800
JASA,04/25/1996,9.875,9.875,9.875,9.875,7700
JASA,04/26/1996,10,10.25,10,10,167000
JASA,04/29/1996,10.125,10.25,10,10.25,5200
JASA,04/30/1996,10.125,10.25,10.125,10.25,3100
JASA,05/01/1996,10.25,10.75,10.25,10.75,38100
JASA,05/02/1996,10.75,11.75,10.75,11.75,33400
JASA,05/03/1996,11.875,11.875,11.875,11.875,88600
JASA,05/06/1996,11.875,11.875,11.75,11.75,15900
JASA,05/07/1996,11.875,11.875,11.875,11.875,25000
JASA,05/08/1996,11.875,12.0625,11.875,12,40700
JASA,05/09/1996,12,12,11.875,12,32500
JASA,05/10/1996,12,12.125,12,12.125,7900
JASA,05/13/1996,12,12.125,11.875,12,15700
JASA,05/14/1996,12,12.125,11.875,12,4800
JASA,05/15/1996,12,12.5,12,12.25,19900
JASA,05/16/1996,12.25,12.75,12.25,12.75,10900
JASA,05/17/1996,12.875,13.5,12.875,13.5,22200
JASA,05/20/1996,13.5,13.625,13.5,13.5,31700
JASA,05/21/1996,13.375,13.5,13.375,13.5,1400
JASA,05/22/1996,13.375,13.375,13.375,13.375,100
JASA,05/23/1996,13.375,13.75,13.375,13.5,3700
