MOGN
LATEST_ANNOUNCEMENT_DT
4/18/1996
7/18/1996
10/17/1996
2/11/1997
4/16/1997
7/16/1997
10/15/1997
2/11/1998
4/15/1998
7/15/1998
10/15/1998
2/10/1999
4/22/1999
7/21/1999
10/20/1999
2/9/2000
4/11/2000
7/19/2000
10/18/2000
2/14/2001
4/18/2001
7/18/2001
10/17/2001
2/13/2002
4/17/2002
7/17/2002
10/16/2002
2/12/2003
4/16/2003
7/16/2003
10/15/2003
2/11/2004
4/14/2004
7/14/2004
10/13/2004
2/9/2005
4/13/2005
7/13/2005
10/19/2005
2/8/2006
4/19/2006
7/19/2006
10/18/2006
2/7/2007
4/18/2007
7/18/2007
10/17/2007
