PKG
LATEST_ANNOUNCEMENT_DT
5/15/1999
8/15/1999
11/29/1999
1/18/2000
4/17/2000
7/19/2000
10/19/2000
1/22/2001
4/16/2001
7/16/2001
10/15/2001
1/22/2002
4/15/2002
7/15/2002
10/14/2002
1/23/2003
4/21/2003
7/14/2003
10/13/2003
1/21/2004
4/19/2004
7/19/2004
10/18/2004
1/19/2005
4/18/2005
7/18/2005
10/17/2005
1/23/2006
4/18/2006
7/18/2006
10/17/2006
1/22/2007
4/17/2007
7/18/2007
10/17/2007
1/22/2008
4/21/2008
7/21/2008
10/20/2008
1/20/2009
4/20/2009
7/20/2009
10/19/2009
1/25/2010
4/19/2010
7/19/2010
10/18/2010
1/24/2011
4/18/2011
7/18/2011
10/17/2011
1/23/2012
4/17/2012
7/16/2012
10/15/2012
1/22/2013
4/22/2013
7/16/2013
10/14/2013
2/11/2014
4/22/2014
7/21/2014
10/20/2014
1/26/2015
4/20/2015
7/21/2015
10/20/2015
01/25/2016
04/20/2016
07/20/2016
10/19/2016
01/30/2017
04/19/2017
