TEX
LATEST_ANNOUNCEMENT_DT
6/2/1993
8/24/1993
11/10/1993
3/24/1994
5/16/1994
8/3/1994
10/25/1994
3/13/1995
5/8/1995
8/10/1995
11/6/1995
3/11/1996
4/25/1996
7/26/1996
10/29/1996
3/6/1997
4/29/1997
7/17/1997
10/23/1997
4/27/1998
7/28/1998
10/30/1998
3/2/1999
4/27/1999
7/27/1999
10/28/1999
3/24/2000
4/26/2000
7/27/2000
10/26/2000
2/20/2001
4/26/2001
7/26/2001
10/24/2001
2/21/2002
4/23/2002
7/25/2002
10/24/2002
2/19/2003
4/23/2003
7/23/2003
10/22/2003
2/18/2004
4/21/2004
7/21/2004
10/27/2004
2/17/2006
5/9/2005
8/3/2005
10/27/2005
3/16/2006
5/4/2006
7/26/2006
10/25/2006
2/14/2007
4/25/2007
7/25/2007
10/24/2007
2/20/2008
4/23/2008
7/23/2008
10/22/2008
2/11/2009
4/21/2009
7/22/2009
10/21/2009
2/17/2010
4/21/2010
7/30/2010
10/20/2010
2/9/2011
4/20/2011
7/20/2011
10/26/2011
2/15/2012
4/25/2012
7/25/2012
10/24/2012
2/19/2013
4/24/2013
7/24/2013
10/23/2013
2/18/2014
4/30/2014
7/23/2014
10/29/2014
2/17/2015
4/29/2015
7/29/2015
10/20/2015
02/16/2016
04/26/2016
08/02/2016
10/31/2016
02/21/2017
04/25/2017
