AIND
LATEST_ANNOUNCEMENT_DT
5/2/1996
7/31/1996
10/30/1996
2/12/1997
5/8/1997
8/1/1997
11/5/1997
2/13/1998
5/7/1998
8/6/1998
11/3/1998
2/12/1999
5/5/1999
7/27/1999
10/26/1999
2/9/2000
5/3/2000
7/25/2000
10/25/2000
2/7/2001
5/2/2001
7/25/2001
10/30/2001
