ROG
LATEST_ANNOUNCEMENT_DT
4/11/1996
7/12/1996
10/11/1996
2/4/1997
4/10/1997
7/10/1997
10/9/1997
2/4/1998
4/16/1998
7/17/1998
10/15/1998
2/3/1999
4/15/1999
7/15/1999
10/15/1999
2/7/2000
4/13/2000
7/18/2000
10/16/2000
2/8/2001
4/11/2001
7/16/2001
10/10/2001
2/5/2002
4/17/2002
7/17/2002
10/17/2002
2/6/2003
4/17/2003
7/16/2003
10/15/2003
2/4/2004
4/21/2004
7/21/2004
10/20/2004
3/3/2005
4/21/2005
7/20/2005
10/19/2005
3/2/2006
4/20/2006
8/9/2006
11/20/2006
2/21/2007
5/2/2007
8/6/2007
11/1/2007
2/20/2008
4/30/2008
7/30/2008
10/29/2008
2/18/2009
5/4/2009
8/3/2009
11/2/2009
2/18/2010
5/3/2010
8/2/2010
11/1/2010
2/17/2011
5/2/2011
8/1/2011
10/31/2011
2/16/2012
5/1/2012
7/31/2012
11/5/2012
2/19/2013
4/30/2013
7/30/2013
10/29/2013
2/24/2014
4/29/2014
7/29/2014
10/28/2014
2/17/2015
4/29/2015
7/29/2015
10/28/2015
2/22/2016
05/02/2016
08/08/2016
11/02/2016
02/20/2017
05/01/2017
