GIFI
LATEST_ANNOUNCEMENT_DT
4/30/1997
7/24/1997
10/23/1997
1/28/1998
4/30/1998
7/22/1998
10/22/1998
2/4/1999
4/29/1999
7/22/1999
10/27/1999
2/2/2000
4/27/2000
7/26/2000
10/25/2000
2/1/2001
4/25/2001
7/25/2001
10/24/2001
1/30/2002
4/24/2002
7/24/2002
10/23/2002
2/5/2003
4/30/2003
7/23/2003
10/22/2003
2/4/2004
4/28/2004
7/28/2004
10/27/2004
2/2/2005
4/27/2005
7/27/2005
10/26/2005
2/1/2006
4/26/2006
7/26/2006
11/1/2006
3/1/2007
4/26/2007
7/26/2007
10/25/2007
2/27/2008
4/23/2008
7/24/2008
10/23/2008
3/5/2009
4/22/2009
7/23/2009
10/22/2009
2/25/2010
4/21/2010
7/28/2010
10/28/2010
2/24/2011
4/28/2011
7/28/2011
10/27/2011
2/27/2012
4/30/2012
7/26/2012
10/25/2012
3/11/2013
4/25/2013
7/25/2013
10/25/2013
2/27/2014
4/24/2014
7/24/2014
10/23/2014
2/26/2015
4/23/2015
7/30/2015
10/29/2015
2/25/2016
4/28/2016
7/28/2016

