EFII
LATEST_ANNOUNCEMENT_DT
4/11/1996
7/11/1996
10/10/1996
1/16/1997
4/10/1997
7/10/1997
10/9/1997
1/15/1998
4/9/1998
7/15/1998
10/14/1998
1/20/1999
4/14/1999
7/14/1999
11/10/1999
1/19/2000
4/12/2000
7/12/2000
10/16/2000
1/24/2001
4/17/2001
7/12/2001
10/11/2001
1/23/2002
4/17/2002
7/17/2002
10/16/2002
1/22/2003
4/16/2003
7/22/2003
10/22/2003
1/27/2004
4/21/2004
7/21/2004
10/20/2004
1/26/2005
4/20/2005
7/20/2005
10/19/2005
1/31/2006
4/20/2006
7/19/2006
10/24/2006
1/30/2007
4/24/2007
7/30/2007
10/23/2007
1/23/2008
4/23/2008
7/29/2008
10/23/2008
1/29/2009
4/29/2009
7/29/2009
10/28/2009
1/21/2010
4/29/2010
7/22/2010
10/21/2010
1/20/2011
4/25/2011
7/21/2011
10/20/2011
1/24/2012
4/19/2012
7/19/2012
10/18/2012
1/24/2013
4/18/2013
7/18/2013
10/17/2013
1/28/2014
4/16/2014
7/17/2014
10/21/2014
1/29/2015
4/23/2015
7/20/2015
10/20/2015
1/27/2016
04/20/2016
07/25/2016
10/24/2016
01/25/2017
04/19/2017
