AJRD
LATEST_ANNOUNCEMENT_DT
3/18/1996
6/14/1996
9/18/1996
1/14/1997
3/17/1997
6/16/1997
9/16/1997
1/15/1998
3/17/1998
6/16/1998
9/14/1998
12/17/1998
3/16/1999
6/16/1999
9/10/1999
1/12/2000
3/15/2000
6/21/2000
9/18/2000
1/16/2001
3/28/2001
6/27/2001
9/24/2001
3/6/2002
3/26/2002
6/25/2002
10/2/2002
1/23/2003
3/26/2003
6/26/2003
10/6/2003
1/28/2004
3/31/2004
7/15/2004
10/15/2004
2/9/2005
3/31/2005
7/7/2005
10/7/2005
2/9/2006
4/10/2006
6/29/2006
10/4/2006
1/22/2007
3/28/2007
6/27/2007
9/26/2007
1/24/2008
3/26/2008
6/30/2008
9/26/2008
2/12/2009
3/27/2009
7/7/2009
10/8/2009
2/3/2010
3/25/2010
7/8/2010
9/29/2010
2/1/2011
4/7/2011
6/30/2011
9/29/2011
2/6/2012
3/29/2012
6/28/2012
10/10/2012
2/11/2013
4/5/2013
7/9/2013
10/15/2013
2/7/2014
3/31/2014
7/9/2014
10/10/2014
1/30/2015
4/9/2015
7/10/2015
10/13/2015
2/16/2016
04/14/2016
07/08/2016
10/11/2016
