CBRL
LATEST_ANNOUNCEMENT_DT
5/15/1996
9/11/1996
11/20/1996
2/19/1997
5/21/1997
9/10/1997
11/19/1997
2/18/1998
5/20/1998
9/9/1998
11/18/1998
2/17/1999
5/19/1999
9/8/1999
11/17/1999
2/16/2000
5/18/2000
9/7/2000
11/16/2000
2/15/2001
5/17/2001
9/13/2001
11/21/2001
2/21/2002
5/23/2002
9/12/2002
11/21/2002
2/20/2003
5/22/2003
9/11/2003
11/20/2003
2/19/2004
5/20/2004
9/9/2004
11/18/2004
2/17/2005
5/19/2005
9/18/2007
2/21/2006
5/23/2006
9/19/2006
11/21/2006
3/2/2007
5/22/2007
9/18/2007
11/28/2007
2/26/2008
5/28/2008
9/16/2008
11/24/2008
2/24/2009
5/27/2009
9/15/2009
11/24/2009
2/23/2010
5/25/2010
9/14/2010
11/23/2010
2/22/2011
5/24/2011
9/13/2011
11/22/2011
2/21/2012
5/22/2012
9/19/2012
11/29/2012
2/26/2013
6/3/2013
9/18/2013
11/26/2013
2/25/2014
5/28/2014
9/17/2014
11/25/2014
2/24/2015
6/2/2015
9/16/2015
11/24/2015
2/23/2016
06/01/2016
09/14/2016
11/22/2016
02/21/2017
06/07/2017
