SCFS
LATEST_ANNOUNCEMENT_DT
4/20/1999
7/22/1999
10/21/1999
1/27/2000
4/20/2000
7/20/2000
10/23/2000
1/25/2001
4/25/2001
7/26/2001
10/25/2001
1/24/2002
4/25/2002
7/25/2002
10/24/2002
1/23/2003
4/24/2003
7/24/2003
10/23/2003
1/27/2004
4/22/2004
6/30/2004
