BMMI
LATEST_ANNOUNCEMENT_DT
4/18/1996
7/18/1996
10/17/1996
1/28/1997
4/23/1997
7/22/1997
10/22/1997
1/26/1998
4/22/1998
7/24/1998
10/22/1998
2/1/1999
4/27/1999
7/20/1999
10/28/1999
2/1/2000
4/25/2000
7/27/2000
10/25/2000
2/1/2001
4/25/2001
7/26/2001
10/30/2001
2/5/2002
4/30/2002
7/30/2002
10/31/2002
2/4/2003
4/29/2003
8/19/2003
11/13/2003
