CMN
LATEST_ANNOUNCEMENT_DT
6/13/1996
9/20/1996
12/2/1996
5/29/1997
9/24/1997
12/1/1997
3/13/1998
6/11/1998
9/28/1998
12/2/1998
3/22/1999
6/9/1999
10/19/1999
11/29/1999
3/8/2000
6/1/2000
10/6/2000
12/5/2000
2/22/2001
5/23/2001
9/26/2001
12/12/2001
2/28/2002
5/30/2002
9/26/2002
12/5/2002
3/4/2003
6/3/2003
9/30/2003
12/9/2003
3/2/2004
6/3/2004
9/30/2004
12/2/2004
3/2/2005
6/1/2005
9/29/2005
12/8/2005
3/9/2006
6/8/2006
10/12/2006
12/8/2006
3/8/2007
6/11/2007
10/9/2007
12/6/2007
3/6/2008
6/5/2008
10/7/2008
12/5/2008
3/9/2009
6/4/2009
10/9/2009
12/9/2009
3/9/2010
6/8/2010
10/13/2010
12/9/2010
3/9/2011
6/8/2011
10/13/2011
12/8/2011
3/8/2012
6/7/2012
10/11/2012
12/6/2012
3/7/2013
6/6/2013
9/26/2013
12/5/2013
3/11/2014
6/5/2014
9/29/2014
12/10/2014
3/12/2015
6/9/2015
9/29/2015
12/10/2015
3/10/2016
06/14/2016
9/29/2016
