GDYS
LATEST_ANNOUNCEMENT_DT
5/22/1996
8/21/1996
11/20/1996
3/19/1997
5/21/1997
8/18/1997
11/19/1997
2/5/1998
5/20/1998
8/19/1998
11/5/1998
3/17/1999
5/19/1999
8/18/1999
11/17/1999
3/15/2000
5/17/2000
8/16/2000
11/14/2000
3/21/2001
5/23/2001
8/22/2001
11/20/2001
3/20/2002
5/23/2002
8/21/2002
11/20/2002
3/19/2003
5/22/2003
8/20/2003
11/19/2003
3/17/2004
5/19/2004
8/18/2004
11/17/2004
3/16/2005
5/18/2005
8/17/2005
11/22/2005
