HLX
LATEST_ANNOUNCEMENT_DT
8/4/1997
11/4/1997
2/19/1998
5/4/1998
8/10/1998
11/4/1998
2/12/1999
5/4/1999
8/4/1999
11/3/1999
2/17/2000
5/2/2000
8/2/2000
11/1/2000
2/15/2001
5/3/2001
8/2/2001
11/1/2001
2/18/2002
5/2/2002
8/1/2002
10/31/2002
2/18/2003
5/1/2003
7/31/2003
11/3/2003
2/24/2004
5/3/2004
8/4/2004
11/2/2004
3/1/2005
5/4/2005
8/2/2005
11/1/2005
2/28/2006
5/2/2006
8/1/2006
10/31/2006
2/26/2007
5/2/2007
8/1/2007
10/31/2007
2/29/2008
4/30/2008
7/30/2008
10/29/2008
2/24/2009
5/5/2009
7/29/2009
10/28/2009
2/24/2010
4/28/2010
7/28/2010
10/27/2010
2/23/2011
4/25/2011
7/25/2011
10/24/2011
2/22/2012
4/22/2012
7/23/2012
10/22/2012
2/20/2013
4/21/2013
7/22/2013
10/21/2013
2/19/2014
4/21/2014
7/21/2014
10/20/2014
2/16/2015
4/20/2015
7/20/2015
10/19/2015
2/22/2016
04/19/2016
07/19/2016
10/19/2016
02/20/2017
04/18/2017
