NAVG
LATEST_ANNOUNCEMENT_DT
5/15/1996
8/15/1996
11/18/1996
3/24/1997
5/15/1997
8/14/1997
11/12/1997
3/17/1998
5/15/1998
8/14/1998
11/12/1998
3/26/1999
5/18/1999
8/16/1999
11/15/1999
3/30/2000
5/12/2000
8/11/2000
11/10/2000
3/26/2001
5/10/2001
8/2/2001
10/31/2001
3/11/2002
5/8/2002
8/5/2002
11/4/2002
3/12/2003
5/12/2003
8/5/2003
11/5/2003
3/9/2004
5/5/2004
8/4/2004
11/3/2004
2/23/2005
5/3/2005
8/2/2005
11/1/2005
2/15/2006
5/1/2006
7/31/2006
10/30/2006
2/14/2007
4/30/2007
7/30/2007
10/29/2007
2/13/2008
4/28/2008
7/28/2008
10/27/2008
2/17/2009
4/29/2009
8/6/2009
11/5/2009
2/25/2010
5/6/2010
8/4/2010
11/4/2010
2/17/2011
5/9/2011
8/4/2011
11/3/2011
2/16/2012
5/3/2012
8/2/2012
11/1/2012
2/13/2013
5/2/2013
8/7/2013
11/7/2013
2/13/2014
5/7/2014
8/7/2014
11/6/2014
2/11/2015
5/7/2015
8/6/2015
11/5/2015
2/10/2016
05/05/2016
08/04/2016
11/03/2016
02/16/2017
05/04/2017
