TR
LATEST_ANNOUNCEMENT_DT
4/29/1993
8/4/1993
10/27/1993
2/17/1994
4/27/1994
8/2/1994
10/26/1994
2/15/1995
4/25/1995
7/25/1995
10/25/1995
2/14/1996
4/23/1996
7/24/1996
10/23/1996
2/12/1997
4/22/1997
7/21/1997
10/22/1997
2/11/1998
4/21/1998
7/20/1998
10/20/1998
2/9/1999
4/27/1999
7/26/1999
10/26/1999
2/9/2000
5/11/2000
7/26/2000
10/25/2000
2/12/2001
5/11/2001
7/25/2001
10/24/2001
2/11/2002
4/18/2002
7/23/2002
10/22/2002
2/10/2003
4/16/2003
7/21/2003
10/21/2003
2/11/2004
4/28/2004
7/28/2004
11/9/2004
2/21/2005
4/28/2005
7/27/2005
10/31/2005
2/15/2006
4/27/2006
7/27/2006
11/9/2006
2/16/2007
4/24/2007
7/25/2007
10/24/2007
2/13/2008
4/23/2008
7/23/2008
11/5/2008
2/12/2009
5/13/2009
7/28/2009
11/12/2009
2/11/2010
4/28/2010
7/28/2010
10/27/2010
2/14/2011
4/27/2011
7/28/2011
10/26/2011
2/14/2012
5/10/2012
7/25/2012
10/23/2012
2/12/2013
4/24/2013
7/24/2013
10/23/2013
2/11/2014
4/23/2014
7/24/2014
10/22/2014
2/10/2015
4/27/2015
7/23/2015
