ULTA
LATEST_ANNOUNCEMENT_DT
7/6/2007
10/24/2007
12/11/2007
3/19/2008
6/4/2008
9/4/2008
12/4/2008
3/19/2009
6/4/2009
9/3/2009
12/3/2009
3/11/2010
6/3/2010
9/2/2010
12/2/2010
3/10/2011
6/7/2011
9/8/2011
12/1/2011
3/8/2012
6/5/2012
9/6/2012
11/29/2012
3/14/2013
6/11/2013
9/12/2013
12/5/2013
3/13/2014
6/10/2014
9/11/2014
12/4/2014
3/12/2015
5/28/2015
8/27/2015
12/3/2015
03/10/2016
05/26/2016
08/25/2016
12/01/2016
03/09/2017
