LSONQ
LATEST_ANNOUNCEMENT_DT
10/28/1996
2/13/1997
4/21/1997
7/23/1997
10/28/1997
2/17/1998
4/22/1998
7/22/1998
10/21/1998
2/16/1999
4/29/1999
7/27/1999
10/27/1999
3/23/2000
5/15/2000
8/14/2000
11/20/2000
11/14/2001
