SIRO
LATEST_ANNOUNCEMENT_DT
7/31/1997
11/5/1997
2/4/1998
6/11/1998
7/29/1998
11/4/1998
2/23/1999
3/31/1999
6/30/1999
9/30/1999
12/31/1999
6/29/2000
8/7/2000
11/8/2000
1/31/2001
7/13/2001
8/7/2001
10/31/2001
1/31/2002
6/17/2002
7/31/2002
10/30/2002
1/31/2003
6/10/2003
8/13/2003
11/5/2003
2/11/2004
6/15/2004
8/12/2004
11/10/2004
2/10/2005
6/10/2005
8/9/2005
11/9/2005
8/9/2006
12/8/2006
2/9/2007
5/10/2007
8/9/2007
12/7/2007
2/8/2008
5/8/2008
8/6/2008
12/4/2008
2/5/2009
5/5/2009
7/31/2009
12/4/2009
2/8/2010
5/5/2010
8/3/2010
11/18/2010
2/4/2011
5/6/2011
8/5/2011
11/18/2011
2/3/2012
5/4/2012
8/3/2012
11/16/2012
2/8/2013
5/10/2013
8/2/2013
11/22/2013
2/7/2014
5/9/2014
8/8/2014
11/21/2014
2/6/2015
5/8/2015
8/7/2015
11/20/2015
02/05/2016
05/13/2016
