MMSI
LATEST_ANNOUNCEMENT_DT
4/17/1996
7/25/1996
10/22/1996
2/6/1997
4/30/1997
7/22/1997
10/28/1997
2/19/1998
4/22/1998
7/21/1998
10/21/1998
2/25/1999
4/27/1999
7/21/1999
10/20/1999
2/16/2000
4/27/2000
7/20/2000
10/24/2000
2/21/2001
4/18/2001
7/19/2001
10/17/2001
2/14/2002
4/18/2002
7/18/2002
10/17/2002
2/19/2003
4/21/2003
7/23/2003
10/22/2003
2/19/2004
4/20/2004
7/22/2004
10/26/2004
3/8/2005
4/21/2005
7/26/2005
10/27/2005
2/28/2006
4/27/2006
7/27/2006
10/26/2006
2/28/2007
5/2/2007
7/26/2007
10/25/2007
2/14/2008
4/24/2008
7/23/2008
10/23/2008
2/5/2009
4/28/2009
7/28/2009
10/27/2009
2/18/2010
4/29/2010
7/28/2010
11/4/2010
2/17/2011
4/14/2011
7/21/2011
10/25/2011
2/23/2012
4/24/2012
7/26/2012
10/25/2012
2/21/2013
4/25/2013
7/31/2013
10/23/2013
2/24/2014
4/24/2014
7/29/2014
10/23/2014
2/24/2015
4/23/2015
7/23/2015
10/22/2015
2/22/2016
04/28/2016
07/27/2016
10/26/2016
02/21/2017
04/27/2017
