ASGN
LATEST_ANNOUNCEMENT_DT
4/17/1996
7/24/1996
10/22/1996
1/22/1997
4/17/1997
7/17/1997
10/16/1997
1/22/1998
4/21/1998
7/21/1998
10/20/1998
1/26/1999
4/22/1999
7/20/1999
10/19/1999
1/27/2000
4/13/2000
7/20/2000
10/19/2000
1/25/2001
4/19/2001
7/19/2001
10/18/2001
1/24/2002
4/18/2002
7/16/2002
10/23/2002
2/12/2003
5/6/2003
8/6/2003
11/11/2003
2/24/2004
5/4/2004
8/3/2004
11/4/2004
3/3/2005
5/5/2005
8/4/2005
10/31/2005
2/21/2006
5/3/2006
8/1/2006
10/30/2006
2/28/2007
5/2/2007
8/1/2007
11/1/2007
2/21/2008
5/1/2008
8/4/2008
10/29/2008
2/19/2009
4/30/2009
8/5/2009
11/9/2009
2/18/2010
4/29/2010
8/9/2010
10/28/2010
2/17/2011
4/28/2011
8/3/2011
10/27/2011
2/14/2012
4/26/2012
7/24/2012
10/25/2012
2/14/2013
4/24/2013
7/24/2013
10/23/2013
2/19/2014
4/23/2014
7/30/2014
10/29/2014
2/18/2015
4/29/2015
7/29/2015
10/28/2015
2/17/2016
04/27/2016
07/27/2016
10/27/2016
02/14/2017
04/26/2017
