BID
LATEST_ANNOUNCEMENT_DT
4/29/1993
8/16/1993
11/12/1993
3/14/1994
5/9/1994
8/11/1994
11/9/1994
3/14/1995
5/11/1995
8/10/1995
11/10/1995
3/5/1996
5/10/1996
7/25/1996
10/24/1996
2/6/1997
5/6/1997
7/29/1997
11/4/1997
2/11/1998
5/15/1998
8/5/1998
11/9/1998
3/2/1999
5/13/1999
8/11/1999
11/15/1999
3/2/2000
5/11/2000
8/3/2000
11/15/2000
3/14/2001
5/15/2001
8/7/2001
11/13/2001
3/12/2002
5/14/2002
8/6/2002
11/13/2002
3/17/2003
5/14/2003
8/7/2003
11/13/2003
3/11/2004
5/10/2004
8/9/2004
11/9/2004
3/17/2005
5/10/2005
8/8/2005
11/7/2005
3/7/2006
5/8/2006
8/2/2006
11/9/2006
3/1/2007
5/7/2007
8/8/2007
11/9/2007
2/26/2008
5/9/2008
8/5/2008
11/7/2008
2/26/2009
5/7/2009
8/4/2009
11/5/2009
3/1/2010
5/6/2010
8/5/2010
11/4/2010
2/28/2011
5/9/2011
8/3/2011
11/7/2011
2/29/2012
5/10/2012
8/7/2012
11/8/2012
2/28/2013
5/9/2013
8/6/2013
11/11/2013
2/27/2014
5/7/2014
8/8/2014
11/10/2014
3/2/2015
5/11/2015
8/7/2015
11/09/2015
01/22/2016
02/26/2016
05/09/2016
08/08/2016
11/07/2016
02/27/2017
05/08/2017
