MOV
LATEST_ANNOUNCEMENT_DT
5/28/1996
9/4/1996
12/2/1996
3/25/1997
5/28/1997
9/4/1997
12/2/1997
3/31/1998
5/28/1998
8/25/1998
12/1/1998
3/30/1999
6/4/1999
9/8/1999
11/30/1999
4/12/2000
5/31/2000
9/6/2000
12/15/2000
3/20/2001
6/5/2001
9/5/2001
11/29/2001
3/14/2002
5/30/2002
9/4/2002
12/3/2002
3/13/2003
5/29/2003
9/4/2003
12/2/2003
3/12/2004
6/2/2004
9/8/2004
12/8/2004
3/23/2005
6/2/2005
9/8/2005
12/1/2005
4/6/2006
6/1/2006
9/7/2006
12/7/2006
3/29/2007
5/31/2007
9/6/2007
12/6/2007
3/27/2008
5/29/2008
9/4/2008
12/4/2008
4/9/2009
6/9/2009
9/3/2009
12/9/2009
4/1/2010
5/27/2010
9/2/2010
12/2/2010
4/7/2011
6/2/2011
9/1/2011
12/1/2011
3/29/2012
5/31/2012
8/28/2012
11/28/2012
3/21/2013
5/29/2013
8/27/2013
11/26/2013
3/26/2014
5/22/2014
8/26/2014
11/25/2014
3/31/2015
5/27/2015
8/27/2015
11/24/2015
3/31/2016
05/26/2016
08/25/2016
11/22/2016
03/30/2017
