HKFIQ
LATEST_ANNOUNCEMENT_DT
5/14/1996
8/13/1996
11/12/1996
2/18/1997
5/20/1997
8/19/1997
11/18/1997
2/17/1998
5/19/1998
8/19/1998
11/17/1998
3/5/1999
5/18/1999
8/17/1999
11/16/1999
2/15/2000
5/16/2000
8/15/2000
12/13/2000
2/13/2001
5/15/2001
8/14/2001
11/13/2001
2/19/2002
5/21/2002
8/20/2002
11/19/2002
2/25/2003
5/20/2003
8/19/2003
11/18/2003
2/24/2004
5/18/2004
8/17/2004
11/16/2004
2/22/2005
5/17/2005
8/16/2005
11/15/2005
1/5/2007
2/19/2008
2/19/2008
2/19/2008
4/17/2008
8/29/2007
12/12/2008
4/17/2008
6/9/2008
9/15/2008
12/12/2008
4/9/2009
6/11/2009
8/26/2009
12/2/2009
3/10/2010
5/26/2010
8/25/2010
12/1/2010
4/26/2011
6/10/2011
9/13/2011
12/9/2011
4/20/2012
6/8/2012
8/23/2012
12/7/2012
4/26/2013
6/11/2013
9/10/2013
12/10/2013
4/25/2014
6/10/2014
9/9/2014
12/9/2014
5/1/2015
6/16/2015
9/4/2015
12/21/2015
