BGG
LATEST_ANNOUNCEMENT_DT
4/17/1996
7/31/1996
10/10/1996
1/15/1997
4/16/1997
7/31/1997
10/10/1997
1/15/1998
4/15/1998
7/30/1998
10/13/1998
1/14/1999
4/15/1999
7/29/1999
10/14/1999
1/14/2000
4/17/2000
7/31/2000
10/16/2000
1/18/2001
4/19/2001
8/2/2001
10/18/2001
1/17/2002
4/18/2002
8/8/2002
10/17/2002
1/16/2003
4/17/2003
8/7/2003
10/16/2003
1/22/2004
4/22/2004
8/5/2004
10/21/2004
1/21/2005
4/21/2005
8/11/2005
10/20/2005
1/19/2006
4/20/2006
8/10/2006
10/19/2006
1/18/2007
4/19/2007
8/9/2007
10/18/2007
1/17/2008
4/17/2008
8/14/2008
10/16/2008
1/15/2009
4/16/2009
8/13/2009
10/22/2009
1/12/2010
4/22/2010
8/12/2010
10/29/2010
1/28/2011
4/29/2011
8/11/2011
10/21/2011
1/26/2012
4/26/2012
8/9/2012
10/18/2012
1/24/2013
4/19/2013
8/15/2013
10/17/2013
1/23/2014
4/24/2014
8/14/2014
10/15/2014
1/21/2015
4/23/2015
8/12/2015
10/29/2015
1/20/2016
04/21/2016
08/17/2016
10/26/2016
01/25/2017
04/21/2017
