UTI
LATEST_ANNOUNCEMENT_DT
2/11/2004
5/12/2004
8/11/2004
12/1/2004
2/2/2005
5/4/2005
8/10/2005
12/12/2005
2/8/2006
5/9/2006
8/8/2006
12/6/2006
2/7/2007
5/8/2007
8/7/2007
11/27/2007
2/6/2008
5/6/2008
8/6/2008
11/24/2008
2/3/2009
5/5/2009
8/4/2009
12/1/2009
2/2/2010
5/3/2010
8/3/2010
11/30/2010
2/3/2011
5/3/2011
7/27/2011
11/29/2011
2/2/2012
5/1/2012
8/2/2012
11/27/2012
1/31/2013
4/30/2013
7/26/2013
12/3/2013
1/30/2014
4/29/2014
8/5/2014
12/2/2014
2/5/2015
4/30/2015
8/6/2015
12/1/2015
2/4/2016
04/28/2016
08/04/2016
12/06/2016
