SWX
LATEST_ANNOUNCEMENT_DT
5/2/1996
8/12/1996
11/7/1996
2/11/1997
4/30/1997
8/7/1997
11/4/1997
2/10/1998
4/29/1998
7/27/1998
10/29/1998
2/10/1999
5/4/1999
8/10/1999
10/28/1999
2/22/2000
4/27/2000
8/3/2000
11/1/2000
2/26/2001
4/26/2001
7/31/2001
11/1/2001
2/19/2002
4/25/2002
8/12/2002
10/30/2002
2/18/2003
4/29/2003
7/30/2003
10/29/2003
2/17/2004
4/28/2004
7/29/2004
10/28/2004
3/14/2005
4/28/2005
8/9/2005
11/2/2005
3/8/2006
5/2/2006
8/9/2006
11/2/2006
2/27/2007
4/27/2007
8/6/2007
11/6/2007
2/27/2008
5/2/2008
8/6/2008
11/5/2008
2/26/2009
5/1/2009
8/4/2009
11/5/2009
2/25/2010
5/5/2010
8/9/2010
11/8/2010
2/28/2011
5/4/2011
8/8/2011
11/7/2011
2/28/2012
5/4/2012
8/7/2012
11/6/2012
2/26/2013
5/3/2013
8/7/2013
11/6/2013
2/26/2014
5/6/2014
8/5/2014
11/5/2014
2/25/2015
5/5/2015
8/5/2015
11/4/2015
2/24/2016
05/09/2016
08/08/2016
11/07/2016
02/27/2017
05/08/2017
