ELMG
LATEST_ANNOUNCEMENT_DT
4/22/1996
7/18/1996
10/17/1996
2/10/1997
4/21/1997
7/22/1997
10/21/1997
2/12/1998
4/27/1998
7/22/1998
10/21/1998
2/16/1999
5/19/1999
7/27/1999
10/26/1999
2/15/2000
4/26/2000
7/18/2000
10/18/2000
2/9/2001
4/20/2001
7/19/2001
10/24/2001
2/14/2002
4/24/2002
7/30/2002
11/12/2002
2/21/2003
5/13/2003
8/12/2003
11/12/2003
3/1/2004
5/12/2004
8/12/2004
10/28/2004
3/17/2005
5/17/2005
8/3/2005
11/8/2005
3/15/2006
5/10/2006
8/8/2006
11/3/2006
3/5/2007
5/2/2007
8/1/2007
10/30/2007
2/28/2008
4/30/2008
7/30/2008
10/31/2008
3/4/2009
5/1/2009
8/5/2009
11/5/2009
3/10/2010
5/5/2010
8/4/2010
11/5/2010
3/3/2011
5/12/2011
8/11/2011
