NTGR
LATEST_ANNOUNCEMENT_DT
9/12/2003
10/28/2003
2/12/2004
5/5/2004
7/29/2004
10/28/2004
2/17/2005
4/28/2005
7/28/2005
10/26/2005
2/16/2006
4/26/2006
7/27/2006
10/26/2006
2/15/2007
4/26/2007
7/26/2007
10/25/2007
2/13/2008
4/24/2008
7/23/2008
10/23/2008
2/13/2009
4/22/2009
7/22/2009
10/22/2009
2/9/2010
4/21/2010
7/21/2010
10/26/2010
2/8/2011
4/28/2011
7/28/2011
10/27/2011
2/7/2012
4/25/2012
7/26/2012
10/25/2012
2/12/2013
4/25/2013
7/25/2013
10/24/2013
2/6/2014
4/24/2014
7/24/2014
10/23/2014
2/5/2015
4/23/2015
7/23/2015
10/22/2015
2/4/2016
04/27/2016
07/27/2016
10/26/2016
02/07/2017
04/26/2017
