PDLI
LATEST_ANNOUNCEMENT_DT
5/6/1996
8/13/1996
10/17/1996
1/31/1997
5/6/1997
2/11/1998
5/7/1998
8/5/1998
10/26/1998
2/22/1999
5/6/1999
8/4/1999
11/3/1999
2/28/2000
4/17/2000
8/1/2000
11/8/2000
2/13/2001
5/14/2001
8/2/2001
11/1/2001
2/28/2002
5/9/2002
8/7/2002
11/7/2002
2/26/2003
4/29/2003
7/29/2003
11/3/2003
2/26/2004
5/4/2004
8/3/2004
11/1/2004
3/14/2005
5/2/2005
8/4/2005
11/1/2005
2/27/2006
5/2/2006
8/3/2006
11/2/2006
2/21/2007
5/2/2007
8/1/2007
11/8/2007
3/4/2008
5/8/2008
8/11/2008
11/6/2008
3/2/2009
5/7/2009
7/30/2009
10/28/2009
3/1/2010
4/29/2010
7/28/2010
11/9/2010
2/28/2011
4/27/2011
7/27/2011
11/9/2011
2/23/2012
5/3/2012
8/2/2012
11/5/2012
3/1/2013
5/9/2013
8/8/2013
11/6/2013
3/3/2014
5/12/2014
8/18/2014
11/10/2014
2/23/2015
5/6/2015
8/5/2015
11/4/2015
2/22/2016
