,TRYB,US,Equity,,,
TRYB,11/06/2003,10.945,11.3273,10.6964,11.3273,48000
TRYB,11/07/2003,11.5663,11.5663,11.2317,11.2986,248700
TRYB,11/10/2003,11.203,11.2413,10.9067,10.9736,323800
TRYB,11/11/2003,10.945,10.9927,10.7251,10.878,134700
TRYB,11/12/2003,10.9163,11.0405,10.7729,11.0405,138700
TRYB,11/13/2003,10.9927,11.7383,10.945,11.7383,62200
TRYB,11/14/2003,11.7383,11.7383,10.8494,10.8494,71300
TRYB,11/17/2003,10.8016,10.9163,10.6582,10.7633,102600
TRYB,11/18/2003,10.8589,10.945,10.62,10.7251,57400
TRYB,11/19/2003,10.8207,10.9927,10.7347,10.9736,28200
TRYB,11/20/2003,10.878,10.9927,10.5626,10.7538,96300
TRYB,11/21/2003,10.8494,10.9545,10.5626,10.6582,44200
TRYB,11/24/2003,10.7538,11.1744,10.7538,11.1744,51300
TRYB,11/25/2003,11.1266,11.1361,10.8398,10.878,36000
TRYB,11/26/2003,10.8972,11.1839,10.8494,10.878,32500
TRYB,11/28/2003,10.8016,11.2604,10.8016,11.0883,14100
TRYB,12/01/2003,11.1361,11.27,11.0883,11.1935,74300
TRYB,12/02/2003,11.2891,11.2986,10.9927,10.9927,38700
TRYB,12/03/2003,11.0405,11.1361,10.706,10.706,79900
TRYB,12/04/2003,10.6582,11.0405,10.467,10.9163,56000
TRYB,12/05/2003,10.8494,11.0023,10.6773,10.7538,229100
TRYB,12/08/2003,10.8494,10.8494,10.467,10.5052,73000
TRYB,12/09/2003,10.5626,10.706,10.3236,10.3236,119000
TRYB,12/10/2003,10.5148,10.706,10.1516,10.3523,60100
TRYB,12/11/2003,10.5626,10.9832,10.5626,10.8016,67600
TRYB,12/12/2003,10.8972,11.0405,10.706,10.9736,54200
TRYB,12/15/2003,11.0692,11.1552,10.4383,10.4383,70500
TRYB,12/16/2003,10.3619,10.945,10.2376,10.5435,36000
TRYB,12/17/2003,10.5148,10.6582,10.4288,10.6104,70400
TRYB,12/18/2003,10.5626,10.7347,10.5148,10.5148,44800
TRYB,12/19/2003,10.5244,10.5244,10.0751,10.1516,943900
TRYB,12/22/2003,10.1611,10.4192,9.9413,10.2089,68500
TRYB,12/23/2003,10.1133,10.467,9.9986,10.467,89100
TRYB,12/24/2003,9.9891,10.1802,9.9126,9.9126,16700
TRYB,12/26/2003,9.9126,10.2185,9.9126,10.1802,12500
TRYB,12/29/2003,10.228,10.3714,10.0369,10.0847,77200
TRYB,12/30/2003,10.1802,10.2472,9.9604,10.2472,110300
TRYB,12/31/2003,10.2758,10.5148,10.0847,10.3045,77900
TRYB,01/02/2004,10.4001,10.5148,10.1802,10.1802,48700
TRYB,01/05/2004,10.2758,10.9927,10.2758,10.8972,50000
TRYB,01/06/2004,10.945,10.945,10.228,10.228,80800
TRYB,01/07/2004,10.3236,10.4383,10.0369,10.381,40800
TRYB,01/08/2004,10.4192,10.4192,10.0847,10.228,132900
TRYB,01/09/2004,10.228,10.2758,9.9413,9.9413,31500
TRYB,01/12/2004,10.0369,10.3714,10.0369,10.3714,22800
TRYB,01/13/2004,10.4192,10.4957,10.1898,10.4957,52600
TRYB,01/14/2004,10.5722,10.5722,10.2758,10.4479,19200
TRYB,01/15/2004,10.5435,11.1744,10.4097,10.553,209800
TRYB,01/16/2004,10.6486,10.706,10.5626,10.706,215600
TRYB,01/20/2004,10.8016,11.0023,10.706,10.8016,101300
TRYB,01/21/2004,10.8494,10.8972,10.6582,10.6582,185000
TRYB,01/22/2004,10.7538,11.1361,10.706,11.1361,249400
TRYB,01/23/2004,11.1839,11.1839,10.8016,11.1361,214200
TRYB,01/26/2004,11.0883,11.1648,10.8972,11.1648,206100
TRYB,01/27/2004,11.1839,11.1839,10.9832,11.0023,99600
TRYB,01/28/2004,11.0979,11.117,10.8972,10.9354,88600
TRYB,01/29/2004,10.9927,11.1457,10.945,11.0883,125100
TRYB,01/30/2004,11.0883,11.1744,10.8972,11.0883,116200
TRYB,02/02/2004,11.1839,11.1839,10.7347,10.8972,51900
TRYB,02/03/2004,10.8972,10.9927,10.8972,10.9927,169000
TRYB,02/04/2004,10.945,10.9927,10.8494,10.878,241600
TRYB,02/05/2004,10.878,10.9927,10.8016,10.9641,138100
TRYB,02/06/2004,11.0597,11.0597,10.8494,10.945,49500
TRYB,02/09/2004,10.945,10.9927,10.8016,10.8302,329800
TRYB,02/10/2004,10.8972,11.1361,10.706,11.0883,128900
TRYB,02/11/2004,11.0883,11.0883,10.8972,11.0788,149400
TRYB,02/12/2004,11.0119,11.0405,10.8494,10.9927,130400
TRYB,02/13/2004,11.0883,11.0883,10.7633,10.8972,195900
TRYB,02/17/2004,10.8494,11.0405,10.8494,10.945,47900
TRYB,02/18/2004,11.0214,11.1361,10.7538,10.7538,69400
TRYB,02/19/2004,10.8207,10.878,10.4192,10.4192,62400
TRYB,02/20/2004,10.3714,10.7825,10.3714,10.5913,57300
TRYB,02/23/2004,10.6869,10.7347,10.3141,10.5148,114400
TRYB,02/24/2004,10.5626,10.7729,10.4861,10.706,81900
TRYB,02/25/2004,10.7538,10.8685,10.381,10.8685,67700
TRYB,02/26/2004,10.8685,10.8685,10.5913,10.6486,125900
TRYB,02/27/2004,10.553,10.792,10.5148,10.6104,48800
TRYB,03/01/2004,10.5626,10.7538,10.4957,10.7538,201800
TRYB,03/02/2004,10.706,10.7347,10.4383,10.4479,925600
TRYB,03/03/2004,10.4479,10.6582,10.3714,10.6104,175400
TRYB,03/04/2004,10.6295,10.8398,10.467,10.8207,166700
TRYB,03/05/2004,10.7251,10.945,10.5148,10.6104,46700
TRYB,03/08/2004,10.6582,10.8972,10.6486,10.8016,49800
TRYB,03/09/2004,10.7538,10.8972,10.6582,10.8016,59300
TRYB,03/10/2004,10.8494,10.9927,10.6869,10.6869,57500
TRYB,03/11/2004,10.6104,11.4133,10.6104,11.0023,202800
TRYB,03/12/2004,10.9927,11.3369,10.8016,11.3369,90000
TRYB,03/15/2004,11.2795,11.2795,10.8494,11.0119,104600
TRYB,03/16/2004,11.1075,11.1075,10.1611,10.5052,185700
TRYB,03/17/2004,10.5626,10.7825,10.5626,10.706,246700
TRYB,03/18/2004,10.7538,10.8207,10.3236,10.467,94700
TRYB,03/19/2004,10.5626,10.5626,10.1324,10.2089,137300
TRYB,03/22/2004,10.2758,10.3332,9.8552,9.8552,116900
TRYB,03/23/2004,9.8648,10.0751,9.6545,9.6641,164900
TRYB,03/24/2004,9.6641,9.7405,9.5111,9.6641,98200
TRYB,03/25/2004,9.6641,10.1324,9.5685,9.9891,65200
TRYB,03/26/2004,10.0369,10.0369,9.6927,9.9604,47900
TRYB,03/29/2004,9.9891,10.3141,9.9126,10.3141,75800
TRYB,03/30/2004,10.2758,10.3236,9.9317,10.1707,88800
TRYB,03/31/2004,10.1898,10.4766,9.9986,10.4766,68100
TRYB,04/01/2004,10.4766,10.6391,10.0369,10.3236,133800
TRYB,04/02/2004,10.3714,10.4097,10.1898,10.2758,105700
TRYB,04/05/2004,10.2854,10.5244,10.2089,10.5244,97800
TRYB,04/06/2004,10.467,10.5052,10.2089,10.3714,104000
TRYB,04/07/2004,10.3236,10.4383,10.1898,10.3523,109900
TRYB,04/08/2004,10.4192,10.4192,10.1516,10.228,176600
TRYB,04/12/2004,10.228,10.3332,10.1324,10.2949,56300
TRYB,04/13/2004,10.2949,10.2949,9.6832,9.8074,400700
TRYB,04/14/2004,9.7501,9.9221,9.7501,9.903,693100
TRYB,04/15/2004,9.8744,9.9221,9.731,9.731,40500
TRYB,04/16/2004,9.7788,10.1802,9.7119,9.9413,39600
TRYB,04/19/2004,9.9413,10.2758,9.9413,10.142,61600
TRYB,04/20/2004,10.228,10.3236,9.9699,9.9986,72800
TRYB,04/21/2004,9.9891,10.1994,9.8935,10.1994,51400
TRYB,04/22/2004,10.2185,10.5052,10.2185,10.4192,45500
TRYB,04/23/2004,10.4192,10.4192,10.1324,10.2376,54800
TRYB,04/26/2004,10.2376,10.4097,10.1611,10.2185,25800
TRYB,04/27/2004,10.2185,10.3714,10.1611,10.228,208700
TRYB,04/28/2004,10.1611,10.3332,10.0369,10.0847,83700
TRYB,04/29/2004,10.0847,10.1707,10.0177,10.0655,65500
TRYB,04/30/2004,10.0655,10.2949,9.9891,9.9891,65000
TRYB,05/03/2004,10.0369,10.2854,9.9699,10.1802,40700
TRYB,05/04/2004,10.0847,10.4574,10.0847,10.3332,76100
TRYB,05/05/2004,10.3714,10.5626,10.2663,10.5148,58000
TRYB,05/06/2004,10.467,10.4766,10.1324,10.3236,71400
TRYB,05/07/2004,10.3045,10.3714,10.1324,10.1324,54900
TRYB,05/10/2004,10.0369,10.1994,9.8266,9.8266,242300
TRYB,05/11/2004,9.8457,9.8457,9.7788,9.817,132900
TRYB,05/12/2004,9.7692,10.4861,9.6545,10.4574,98400
TRYB,05/13/2004,10.4479,10.4574,9.9604,9.9604,22200
TRYB,05/14/2004,9.9604,10.5339,9.9604,10.1802,60700
TRYB,05/17/2004,10.0847,10.0847,9.7214,9.7214,51000
TRYB,05/18/2004,9.7501,9.9891,9.7214,9.9891,35800
TRYB,05/19/2004,10.228,10.2758,9.9413,10.2089,286800
TRYB,05/20/2004,10.1994,10.1994,9.9795,9.9795,101000
TRYB,05/21/2004,10.1324,10.142,9.8744,10.142,47400
TRYB,05/24/2004,10.2376,10.4192,10.0082,10.4192,45300
TRYB,05/25/2004,10.4192,10.6391,10.2376,10.6391,95100
TRYB,05/26/2004,10.6391,10.6582,10.1802,10.2758,48700
TRYB,05/27/2004,10.2758,10.4001,10.228,10.3141,64600
TRYB,05/28/2004,10.3427,10.467,10.228,10.2376,140300
TRYB,06/01/2004,10.1133,10.2663,9.7596,9.9413,229900
TRYB,06/02/2004,9.9508,10.228,9.8839,10.228,21600
TRYB,06/03/2004,10.1802,10.2758,9.9986,10.0177,44300
TRYB,06/04/2004,10.1133,10.1802,9.9317,9.9317,36100
TRYB,06/07/2004,10.0273,10.2854,9.9891,10.228,67000
TRYB,06/08/2004,10.2089,10.2472,10.0847,10.0847,31500
TRYB,06/09/2004,10.1802,10.2089,9.6449,9.6449,88300
TRYB,06/10/2004,9.7023,9.8457,9.6067,9.6832,161100
TRYB,06/14/2004,9.6163,9.7023,9.4633,9.492,188800
TRYB,06/15/2004,9.5876,9.6067,9.406,9.4155,162600
TRYB,06/16/2004,9.4442,9.5111,9.4155,9.5111,101900
TRYB,06/17/2004,9.5111,9.5589,9.2435,9.5302,227200
TRYB,06/18/2004,9.5589,9.578,9.4633,9.5398,290200
TRYB,06/21/2004,9.5111,9.5685,9.4538,9.4729,420500
TRYB,06/22/2004,9.4729,9.5494,9.4538,9.5111,134400
TRYB,06/23/2004,9.4633,9.5494,9.4633,9.5207,62400
TRYB,06/24/2004,9.5207,9.5494,9.4442,9.5207,138000
TRYB,06/25/2004,9.5111,9.7596,9.4155,9.7596,338700
TRYB,06/28/2004,9.7023,9.731,9.5111,9.6067,110500
TRYB,06/29/2004,9.6258,9.8457,9.5111,9.8457,160200
TRYB,06/30/2004,9.8744,9.9221,9.7214,9.7214,103400
TRYB,07/01/2004,9.817,9.9413,9.6927,9.6927,168300
TRYB,07/02/2004,9.6927,9.8457,9.6641,9.6641,71400
TRYB,07/06/2004,9.6067,9.6545,9.5207,9.5589,211900
TRYB,07/07/2004,9.6545,9.8361,9.5589,9.5589,78500
TRYB,07/08/2004,9.5589,9.7596,9.4633,9.4633,138100
TRYB,07/09/2004,9.5111,9.5589,9.4633,9.4633,38000
TRYB,07/12/2004,9.4729,9.5589,9.3869,9.3869,50600
TRYB,07/13/2004,9.4155,9.6832,9.406,9.4346,86700
TRYB,07/14/2004,9.4155,9.7501,9.4155,9.7023,97700
TRYB,07/15/2004,9.6545,9.7788,9.5111,9.7692,54400
TRYB,07/16/2004,9.7023,9.8361,9.4155,9.4251,70700
TRYB,07/19/2004,9.4155,9.6163,9.4155,9.5589,56500
TRYB,07/20/2004,9.6545,9.7023,9.5494,9.7023,33700
TRYB,07/21/2004,9.6545,9.6545,9.3677,9.3677,77400
TRYB,07/22/2004,9.2721,9.578,9.2721,9.4633,63900
TRYB,07/23/2004,9.5111,9.5398,9.3677,9.3677,50600
TRYB,07/26/2004,9.4155,9.4824,9.2817,9.3677,68600
TRYB,07/27/2004,9.4155,9.6545,9.4155,9.6258,46600
TRYB,07/28/2004,9.5302,9.6545,9.3677,9.578,64400
TRYB,07/29/2004,9.5589,9.578,9.2243,9.5685,94000
TRYB,07/30/2004,9.4729,9.5016,9.3295,9.3295,129900
TRYB,08/02/2004,9.2721,9.5589,9.253,9.5111,102500
TRYB,08/03/2004,9.4633,9.4633,9.3486,9.4633,105200
TRYB,08/04/2004,9.4346,9.6449,9.3295,9.6067,176900
TRYB,08/05/2004,9.5589,9.6545,9.3677,9.3773,53700
TRYB,08/06/2004,9.3677,9.3677,9.2243,9.2721,110600
TRYB,08/09/2004,9.2817,9.4633,9.2817,9.406,128100
TRYB,08/10/2004,9.4155,9.4155,9.2435,9.3677,189100
TRYB,08/11/2004,9.2913,9.5398,9.2435,9.5398,112200
TRYB,08/12/2004,9.4442,9.4538,9.253,9.3199,89600
TRYB,08/13/2004,9.4155,9.4155,9.2243,9.2339,90900
TRYB,08/16/2004,9.2721,9.3677,9.2052,9.3008,39700
TRYB,08/17/2004,9.3486,9.3964,9.1957,9.3199,42400
TRYB,08/18/2004,9.2435,9.4633,9.2148,9.3677,73900
TRYB,08/19/2004,9.3199,9.5016,9.2721,9.4251,73100
TRYB,08/20/2004,9.4633,9.8457,9.4155,9.8457,34100
TRYB,08/23/2004,9.9413,9.9413,9.6641,9.7596,84500
TRYB,08/24/2004,9.8552,9.9413,9.7023,9.9413,36700
TRYB,08/25/2004,9.8935,9.8935,9.7214,9.7979,41600
TRYB,08/26/2004,9.7501,10.0273,9.7501,10.0082,30800
TRYB,08/27/2004,9.9413,10.0751,9.9221,10.0751,95200
TRYB,08/30/2004,9.9891,10.2854,9.9508,10.2663,37800
TRYB,08/31/2004,10.3619,10.6008,10.2949,10.6008,70900
TRYB,09/01/2004,10.4574,10.5148,10.3236,10.4192,142200
TRYB,09/02/2004,10.4766,10.6008,10.4479,10.5435,42900
TRYB,09/03/2004,10.6391,10.6964,10.5052,10.6104,70900
TRYB,09/07/2004,10.6104,10.6104,10.1324,10.4288,231700
TRYB,09/08/2004,10.4288,10.4957,10.3141,10.3236,150300
TRYB,09/09/2004,10.3714,10.8016,10.3714,10.7538,154500
TRYB,09/10/2004,10.706,10.8876,10.4957,10.7538,42300
TRYB,09/13/2004,10.7538,10.7538,10.6295,10.7347,55700
TRYB,09/14/2004,10.6582,10.8494,10.5339,10.7633,38300
TRYB,09/15/2004,10.8016,10.8494,10.6486,10.6677,21300
TRYB,09/16/2004,10.7347,11.1839,10.7347,11.1839,43200
TRYB,09/17/2004,11.1839,11.1839,10.6773,11.0883,214900
TRYB,09/20/2004,11.0883,11.0883,10.5148,10.792,40400
TRYB,09/21/2004,10.792,11.0692,10.706,11.0692,54900
TRYB,09/22/2004,10.9736,10.9832,10.5913,10.5913,709800
TRYB,09/23/2004,10.6869,10.706,10.5435,10.5626,77800
TRYB,09/24/2004,10.5626,10.7729,10.5626,10.706,219300
TRYB,09/27/2004,10.6582,10.7825,10.4766,10.5722,50500
TRYB,09/28/2004,10.5817,10.7633,10.5817,10.7538,26300
TRYB,09/29/2004,10.7538,11.3273,10.6391,11.3273,70900
TRYB,09/30/2004,11.2317,11.2317,10.8972,10.9641,55000
TRYB,10/01/2004,11.0119,11.0883,10.8111,11.0405,89500
TRYB,10/04/2004,11.0023,11.0023,10.878,10.8972,30700
TRYB,10/05/2004,10.8016,11.0788,10.7538,11.0405,95600
TRYB,10/06/2004,11.0883,11.0979,10.9545,11.0023,107300
TRYB,10/07/2004,10.945,11.0883,10.8016,10.8016,47500
TRYB,10/08/2004,10.8016,11.0883,10.381,10.381,65400
TRYB,10/11/2004,10.4766,10.7442,10.4766,10.6582,53500
TRYB,10/12/2004,10.5626,10.706,10.5626,10.6295,67500
TRYB,10/13/2004,10.7251,10.8016,10.4574,10.4574,44000
TRYB,10/14/2004,10.4192,10.5626,10.3427,10.3427,96600
TRYB,10/15/2004,10.3523,10.706,10.3523,10.4383,57800
TRYB,10/18/2004,10.4383,10.6964,10.3236,10.5244,26800
TRYB,10/19/2004,10.62,10.8016,10.3905,10.3905,48200
TRYB,10/20/2004,10.2949,10.4766,10.2663,10.4192,22900
TRYB,10/21/2004,10.467,10.706,10.2854,10.6964,41600
TRYB,10/22/2004,10.6582,10.6773,10.2758,10.3332,62600
TRYB,10/25/2004,10.2854,10.6104,10.2854,10.5148,106400
TRYB,10/26/2004,10.5244,10.5626,10.467,10.5052,62200
TRYB,10/27/2004,10.5913,10.792,10.4957,10.792,74400
TRYB,10/28/2004,10.7442,10.7538,10.5913,10.7538,19000
TRYB,10/29/2004,10.706,10.9736,10.5626,10.9258,76800
TRYB,11/01/2004,10.9258,10.945,10.792,10.8876,22100
TRYB,11/02/2004,10.945,11.1744,10.6869,10.7442,67900
TRYB,11/03/2004,10.8398,11.1266,10.8398,11.0883,66400
TRYB,11/04/2004,11.0883,11.6619,11.0597,11.6619,139900
TRYB,11/05/2004,11.4707,11.853,11.3751,11.853,688400
TRYB,11/08/2004,11.853,11.9008,11.7575,11.8053,170900
TRYB,11/09/2004,11.7575,11.9104,11.7192,11.7288,78500
TRYB,11/10/2004,11.7383,11.9486,11.7383,11.9295,84400
TRYB,11/11/2004,11.9486,11.9486,11.8817,11.9486,355500
TRYB,11/12/2004,11.9486,12.1016,11.9391,11.9869,130900
TRYB,11/15/2004,12.0825,12.2641,11.9964,12.2067,89000
TRYB,11/16/2004,12.1111,12.2354,12.0442,12.0442,99900
TRYB,11/17/2004,12.1398,12.3119,12.1398,12.1876,267100
TRYB,11/18/2004,12.1876,12.1876,12.0251,12.0825,315300
TRYB,11/19/2004,12.0633,12.1781,11.8339,11.853,321900
TRYB,11/22/2004,11.9486,12.0251,11.8148,11.853,155100
TRYB,11/23/2004,11.9008,11.9486,11.7575,11.8913,159600
TRYB,11/24/2004,11.8817,12.1781,11.8435,12.0347,282100
TRYB,11/26/2004,12.0825,12.2832,12.0825,12.092,13600
TRYB,11/29/2004,12.1494,12.2736,11.9582,11.9869,273300
TRYB,11/30/2004,12.0347,12.331,11.9725,12.1876,226000
TRYB,12/01/2004,12.2067,12.3023,11.7097,11.7097,272000
TRYB,12/02/2004,11.7575,12.245,11.7575,12.0442,166600
TRYB,12/03/2004,11.9964,12.0633,11.8435,11.8435,164800
TRYB,12/06/2004,11.8148,11.9486,11.7575,11.8722,65400
TRYB,12/07/2004,11.8722,11.9964,11.6045,11.6141,195600
TRYB,12/08/2004,11.7097,11.9486,11.7097,11.8148,51300
TRYB,12/09/2004,11.7575,11.7575,10.6104,11.1266,155600
TRYB,12/10/2004,11.0883,11.3464,11.0883,11.2604,99300
TRYB,12/13/2004,11.2604,11.3847,11.2413,11.2508,76500
TRYB,12/14/2004,11.2986,11.4803,11.2795,11.3942,155600
TRYB,12/15/2004,11.3273,11.4994,11.0788,11.4516,223100
TRYB,12/16/2004,11.3751,11.4898,11.1839,11.4803,101500
TRYB,12/17/2004,11.528,11.5854,11.2986,11.5854,82600
TRYB,12/20/2004,11.6141,11.6141,11.2317,11.3082,56300
TRYB,12/21/2004,11.356,11.4611,11.2795,11.4516,47700
TRYB,12/22/2004,11.4229,11.528,11.2986,11.4803,38800
TRYB,12/23/2004,11.595,11.6141,11.3751,11.3751,40400
TRYB,12/27/2004,11.4707,11.8339,11.3273,11.3751,55600
TRYB,12/28/2004,11.3655,11.681,11.1839,11.6332,77500
TRYB,12/29/2004,11.5663,11.7575,11.4229,11.6619,48400
TRYB,12/30/2004,11.5663,11.7097,11.5185,11.5376,29700
TRYB,12/31/2004,11.6141,11.7383,11.4325,11.7192,38900
TRYB,01/03/2005,11.0883,11.8053,11.0883,11.4994,150200
TRYB,01/04/2005,11.5185,11.7766,11.4803,11.5472,326600
TRYB,01/05/2005,11.4898,11.5663,11.2317,11.2604,128400
TRYB,01/06/2005,11.2891,11.6523,11.2795,11.4707,119800
TRYB,01/07/2005,11.4898,11.7479,11.4707,11.528,114300
TRYB,01/10/2005,11.4707,11.6141,11.442,11.442,169100
TRYB,01/11/2005,11.3751,11.6141,11.3751,11.3847,105600
TRYB,01/12/2005,11.4038,11.5089,11.2222,11.4229,114300
TRYB,01/13/2005,11.4707,11.4898,11.2891,11.3178,65500
TRYB,01/14/2005,11.4133,11.4898,11.27,11.4133,44100
TRYB,01/18/2005,11.4133,11.6428,11.4133,11.5567,46600
TRYB,01/19/2005,11.853,13.22,11.853,12.7898,846800
TRYB,01/20/2005,12.7898,13.6406,12.6942,13.3442,262800
TRYB,01/21/2005,13.3538,13.5354,13.2678,13.5259,142400
TRYB,01/24/2005,13.5545,13.717,13.5354,13.6692,318700
TRYB,01/25/2005,13.6788,13.87,13.6788,13.8604,277000
TRYB,01/26/2005,13.87,13.9369,13.8031,13.9369,98000
TRYB,01/27/2005,13.8604,14.0707,13.8126,14.0612,794100
TRYB,01/28/2005,13.87,14.0325,13.8317,13.956,123400
TRYB,01/31/2005,14.0516,14.1185,14.0038,14.0994,126500
TRYB,02/01/2005,14.109,14.3384,14.0612,14.3384,209600
TRYB,02/02/2005,14.3384,14.3766,14.2715,14.3384,133500
TRYB,02/03/2005,14.3384,14.3575,14.1759,14.3479,139200
TRYB,02/04/2005,14.3097,14.434,14.2619,14.434,77000
TRYB,02/07/2005,14.3862,14.7207,14.3384,14.5773,251700
TRYB,02/08/2005,14.5869,14.6729,14.3575,14.6538,76500
TRYB,02/09/2005,14.6538,14.6538,14.3097,14.3862,100200
TRYB,02/10/2005,14.3862,14.4722,14.3384,14.4722,56800
TRYB,02/11/2005,14.3766,14.5773,14.3001,14.4913,92700
TRYB,02/14/2005,14.5295,14.5295,14.3766,14.434,157100
TRYB,02/15/2005,14.5009,14.5009,14.3766,14.4244,53900
TRYB,02/16/2005,14.4053,14.5773,14.3862,14.5773,100500
TRYB,02/17/2005,14.5773,14.5773,14.367,14.3957,45700
TRYB,02/18/2005,14.434,14.5009,14.2428,14.2906,343200
TRYB,02/22/2005,14.2906,14.2906,13.7266,13.7266,214600
TRYB,02/23/2005,13.7648,14.0038,13.7648,13.956,107100
TRYB,02/24/2005,13.9656,14.1759,13.7935,14.1472,67200
TRYB,02/25/2005,14.1472,14.281,14.1472,14.2619,77300
TRYB,02/28/2005,14.2906,14.4148,14.2045,14.3384,102200
TRYB,03/01/2005,14.2141,14.4913,14.2141,14.4626,105800
TRYB,03/02/2005,14.3862,14.4722,14.2141,14.3862,213700
TRYB,03/03/2005,14.434,14.4913,14.3862,14.3862,71000
TRYB,03/04/2005,14.434,14.5965,14.4148,14.5582,41800
TRYB,03/07/2005,14.5582,14.5773,14.3862,14.3957,48100
TRYB,03/08/2005,14.3862,14.5009,14.3766,14.4053,55400
TRYB,03/09/2005,14.3097,14.5582,14.195,14.4435,61900
TRYB,03/10/2005,14.4053,14.4148,13.9465,13.9751,49500
TRYB,03/11/2005,13.9656,13.9751,13.7362,13.7648,78900
TRYB,03/14/2005,13.7553,14.1185,13.7553,14.0994,66600
TRYB,03/15/2005,14.1281,14.1376,13.9178,13.9369,55200
TRYB,03/16/2005,13.8987,14.0994,13.8604,14.0325,59000
TRYB,03/17/2005,14.0803,14.0803,13.8222,13.9273,120600
TRYB,03/18/2005,14.0229,14.0229,13.6214,13.6692,354700
TRYB,03/21/2005,13.717,13.9273,13.4303,13.5641,125300
TRYB,03/22/2005,13.4781,13.7648,13.4303,13.631,162000
TRYB,03/23/2005,13.5737,13.5832,13.0384,13.0479,141900
TRYB,03/24/2005,13.0575,13.2391,13.0288,13.0766,97100
TRYB,03/28/2005,13.0288,13.0479,12.7898,13.0192,92400
TRYB,03/29/2005,12.9236,13.0957,12.6178,12.7229,111300
TRYB,03/30/2005,12.7325,13.0288,12.7325,12.9906,117400
TRYB,03/31/2005,12.9906,13.22,12.7611,13.22,258000
TRYB,04/01/2005,13.1817,13.1817,12.5986,12.9045,112800
TRYB,04/04/2005,12.9045,13.1435,12.8089,13.1435,104600
TRYB,04/05/2005,13.0957,13.0957,12.8854,13.0479,143600
TRYB,04/06/2005,13.0957,13.1435,12.7325,12.7325,200900
TRYB,04/07/2005,12.742,13.1435,12.6751,13.0766,84900
TRYB,04/08/2005,13.0575,13.1626,12.9045,13.1626,142500
