,TRYB,US,Equity,,,
,Date,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
,09/02/2003,10.2758,10.2758,10.2758,10.2758,300
TRYB,09/04/2003,10.2758,10.553,10.2758,10.553,772800
TRYB,09/05/2003,10.5148,10.9927,10.0369,10.3714,962800
TRYB,09/08/2003,10.467,10.5626,10.0942,10.1802,632800
TRYB,09/09/2003,10.1324,10.3332,10.0369,10.2854,171200
TRYB,09/10/2003,10.0464,10.7538,9.9986,10.6008,557800
TRYB,09/11/2003,10.5244,10.8111,10.5244,10.706,286400
TRYB,09/12/2003,10.706,10.8111,10.4957,10.7633,234000
TRYB,09/15/2003,10.8972,10.8972,10.467,10.62,69200
TRYB,09/16/2003,10.6486,10.8016,10.5339,10.7729,130600
TRYB,09/17/2003,10.6582,10.706,10.5626,10.6008,87200
TRYB,09/18/2003,10.5626,10.6104,10.2854,10.467,65000
TRYB,09/19/2003,10.3236,10.5913,10.0847,10.0847,650200
TRYB,09/22/2003,10.228,10.5626,10.228,10.4097,123900
TRYB,09/23/2003,10.3714,10.5148,10.3714,10.4766,57100
TRYB,09/24/2003,10.5722,10.6104,10.4192,10.4192,80800
TRYB,09/25/2003,10.3236,10.4383,10.0847,10.1133,74300
TRYB,09/26/2003,10.0847,10.1324,9.731,9.731,84300
TRYB,09/29/2003,9.7214,9.8839,9.7119,9.7119,85900
TRYB,09/30/2003,9.731,10.228,9.6545,9.9413,318800
TRYB,10/01/2003,10.0369,10.3905,9.9413,10.2376,79900
TRYB,10/02/2003,10.2376,10.381,10.1611,10.228,441200
TRYB,10/03/2003,10.2758,10.2949,10.1802,10.1802,35500
TRYB,10/06/2003,10.228,10.4097,9.9413,10.1324,102300
TRYB,10/07/2003,10.0369,10.3045,10.0369,10.2949,60100
TRYB,10/08/2003,10.2949,10.2949,9.9221,9.9699,58700
TRYB,10/09/2003,10.0369,10.4766,10.0177,10.2089,68900
TRYB,10/10/2003,10.1802,10.228,9.8648,9.9699,71900
TRYB,10/13/2003,9.9413,10.5148,9.9221,10.2472,50000
TRYB,10/14/2003,10.2472,10.5148,10.142,10.4192,26900
TRYB,10/15/2003,10.467,10.467,10.1229,10.1898,42100
TRYB,10/16/2003,10.1324,10.3619,10.1229,10.2758,21400
TRYB,10/17/2003,10.3714,10.3714,9.8935,10.1707,47600
TRYB,10/20/2003,10.1802,10.2949,9.7979,9.7979,56000
TRYB,10/21/2003,9.8457,10.1324,9.8074,9.9413,98500
TRYB,10/22/2003,9.8457,9.8935,9.7023,9.7023,50100
TRYB,10/23/2003,9.7214,9.8935,9.6832,9.7501,130700
TRYB,10/24/2003,9.7405,9.9986,9.731,9.903,39900
TRYB,10/27/2003,9.9986,10.3236,9.9699,10.1229,118000
TRYB,10/28/2003,10.2185,10.6582,10.142,10.6582,43000
TRYB,10/29/2003,10.6582,10.6582,10.3236,10.5148,98900
TRYB,10/30/2003,10.6104,10.6869,10.4001,10.4001,27700
TRYB,10/31/2003,10.4192,10.6008,10.1707,10.1898,36100
TRYB,11/03/2003,10.2854,10.8016,10.2854,10.5148,74300
TRYB,11/04/2003,10.467,10.9927,10.467,10.9545,73719
TRYB,11/05/2003,10.9067,11.0883,10.6582,10.8494,107600
