FINL
LATEST_ANNOUNCEMENT_DT
3/29/1996
6/28/1996
9/30/1996
1/2/1997
3/31/1997
6/30/1997
9/30/1997
1/5/1998
3/31/1998
6/29/1998
9/29/1998
12/30/1998
3/30/1999
6/29/1999
9/29/1999
12/28/1999
3/29/2000
6/28/2000
9/21/2000
12/20/2000
3/28/2001
6/28/2001
9/28/2001
1/3/2002
3/21/2002
6/27/2002
10/1/2002
1/9/2003
3/27/2003
6/30/2003
9/24/2003
1/5/2004
3/25/2004
6/24/2004
9/23/2004
1/4/2005
3/23/2005
6/23/2005
9/22/2005
12/21/2005
3/23/2006
6/21/2006
9/21/2006
12/20/2006
3/29/2007
6/28/2007
9/27/2007
1/3/2008
3/28/2008
6/26/2008
9/25/2008
1/6/2009
3/27/2009
6/25/2009
9/24/2009
12/22/2009
3/25/2010
6/24/2010
9/23/2010
12/21/2010
3/24/2011
6/23/2011
9/22/2011
12/21/2011
3/30/2012
6/29/2012
9/28/2012
1/4/2013
3/28/2013
6/28/2013
9/27/2013
12/20/2013
3/28/2014
6/27/2014
9/26/2014
12/19/2014
3/27/2015
6/26/2015
9/25/2015
1/7/2016
3/24/2016
06/24/2016
09/23/2016
12/21/2016
03/23/2017
