126784Q
LATEST_ANNOUNCEMENT_DT
5/15/1997
7/31/1997
10/29/1997
1/29/1998
4/23/1998
7/22/1998
10/21/1998
2/3/1999
4/21/1999
7/21/1999
10/20/1999
2/3/2000
4/20/2000
7/20/2000
10/26/2000
2/8/2001
4/19/2001
7/19/2001
