MENT
LATEST_ANNOUNCEMENT_DT
10/20/1992
2/2/1993
4/20/1993
7/20/1993
10/21/1993
2/4/1994
4/25/1994
7/25/1994
10/25/1994
1/31/1995
4/21/1995
7/25/1995
10/24/1995
1/29/1996
4/26/1996
7/30/1996
10/23/1996
1/30/1997
4/30/1997
7/29/1997
10/31/1997
2/3/1998
4/30/1998
7/29/1998
10/29/1998
2/2/1999
4/28/1999
8/3/1999
10/28/1999
1/31/2000
5/1/2000
7/26/2000
10/24/2000
1/31/2001
4/24/2001
7/26/2001
10/30/2001
1/24/2002
4/25/2002
7/19/2002
10/29/2002
1/27/2003
4/24/2003
7/23/2003
10/22/2003
1/27/2004
4/22/2004
7/22/2004
10/21/2004
1/27/2005
4/27/2005
7/29/2005
10/20/2005
1/26/2006
4/26/2006
7/20/2006
10/25/2006
2/1/2007
5/24/2007
8/23/2007
11/29/2007
2/28/2008
5/22/2008
8/20/2008
11/19/2008
2/26/2009
5/29/2009
8/20/2009
12/3/2009
3/4/2010
5/28/2010
8/19/2010
11/19/2010
2/24/2011
5/27/2011
8/18/2011
11/17/2011
2/28/2012
5/25/2012
8/23/2012
11/29/2012
2/28/2013
5/23/2013
8/22/2013
11/21/2013
2/27/2014
5/22/2014
8/21/2014
11/20/2014
2/26/2015
5/22/2015
8/20/2015
11/19/2015
03/03/2016
05/19/2016
08/18/2016
11/22/2016
03/02/2017
05/18/2017
