MPANQ
LATEST_ANNOUNCEMENT_DT
4/25/1996
7/25/1996
11/20/1996
1/29/1997
4/28/1997
7/28/1997
12/23/1997
2/16/1998
5/11/1998
8/11/1998
12/29/1998
2/16/1999
5/17/1999
8/17/1999
1/24/2000
2/22/2000
5/15/2000
8/14/2000
