DEL
LATEST_ANNOUNCEMENT_DT
4/24/1997
7/23/1997
10/22/1997
1/26/1998
4/22/1998
7/22/1998
10/21/1998
1/27/1999
4/21/1999
7/21/1999
10/20/1999
1/26/2000
4/19/2000
7/19/2000
10/18/2000
1/24/2001
4/19/2001
7/25/2001
10/24/2001
1/23/2002
4/17/2002
7/24/2002
10/23/2002
1/22/2003
4/21/2003
7/30/2003
10/29/2003
1/28/2004
4/19/2004
7/28/2004
10/27/2004
2/2/2005
4/20/2005
8/12/2005
10/18/2005
2/8/2006
4/25/2006
7/27/2006
10/25/2006
2/7/2007
4/23/2007
7/25/2007
10/29/2007
2/6/2008
4/21/2008
7/23/2008
10/29/2008
2/4/2009
4/20/2009
7/29/2009
10/28/2009
2/24/2010
4/19/2010
7/27/2010
10/27/2010
2/23/2011
4/25/2011
7/27/2011
10/26/2011
2/22/2012
4/23/2012
7/25/2012
10/24/2012
2/27/2013
4/22/2013
7/24/2013
10/23/2013
2/26/2014
4/21/2014
7/23/2014
10/22/2014
2/25/2015
4/20/2015
7/22/2015
10/21/2015
2/24/2016
