TRIP
LATEST_ANNOUNCEMENT_DT
9/22/2011
9/22/2011
9/22/2011
9/22/2011
9/22/2011
9/22/2011
9/22/2011
9/22/2011
9/22/2011
9/22/2011
1/13/2012
2/8/2012
5/1/2012
7/24/2012
11/1/2012
2/13/2013
5/7/2013
7/24/2013
10/23/2013
2/11/2014
5/6/2014
7/23/2014
11/4/2014
2/11/2015
5/6/2015
7/23/2015
11/05/2015
02/11/2016
05/04/2016
08/03/2016
11/08/2016
02/15/2017
05/03/2017
