ATO
LATEST_ANNOUNCEMENT_DT
5/8/1996
8/14/1996
11/4/1996
2/12/1997
5/14/1997
8/13/1997
11/12/1997
2/10/1998
4/28/1998
7/23/1998
11/11/1998
2/9/1999
4/29/1999
8/11/1999
11/10/1999
2/8/2000
4/27/2000
7/27/2000
11/8/2000
1/23/2001
4/25/2001
7/27/2001
11/7/2001
2/12/2002
5/15/2002
8/14/2002
11/13/2002
2/11/2003
5/13/2003
8/13/2003
11/11/2003
2/10/2004
5/11/2004
8/10/2004
11/9/2004
2/8/2005
5/9/2005
8/8/2005
11/8/2005
2/7/2006
5/4/2006
8/9/2006
11/7/2006
2/6/2007
5/2/2007
8/7/2007
11/7/2007
2/5/2008
5/1/2008
8/5/2008
11/11/2008
2/3/2009
4/30/2009
8/4/2009
11/10/2009
2/2/2010
5/5/2010
8/4/2010
11/3/2010
2/8/2011
5/4/2011
8/3/2011
11/9/2011
2/7/2012
5/2/2012
8/8/2012
11/7/2012
2/6/2013
5/1/2013
8/6/2013
11/6/2013
2/4/2014
5/7/2014
8/6/2014
11/5/2014
2/3/2015
5/6/2015
8/5/2015
11/4/2015
2/2/2016
05/04/2016
08/03/2016
11/09/2016
02/07/2017
05/03/2017
