SFD
LATEST_ANNOUNCEMENT_DT
6/12/1996
8/21/1996
11/19/1996
2/13/1997
6/11/1997
8/19/1997
11/12/1997
2/18/1998
6/10/1998
8/20/1998
11/23/1998
2/25/1999
6/10/1999
8/24/1999
11/23/1999
2/29/2000
6/7/2000
8/22/2000
11/28/2000
2/15/2001
6/6/2001
8/23/2001
11/20/2001
2/14/2002
6/5/2002
8/22/2002
11/21/2002
2/25/2003
6/4/2003
8/21/2003
11/20/2003
2/24/2004
6/9/2004
8/26/2004
11/30/2004
3/1/2005
6/3/2005
8/25/2005
11/30/2005
3/1/2006
6/8/2006
8/23/2006
11/30/2006
3/1/2007
6/7/2007
8/23/2007
11/29/2007
2/28/2008
6/5/2008
8/26/2008
12/4/2008
3/12/2009
6/16/2009
9/11/2009
12/10/2009
3/11/2010
6/17/2010
9/8/2010
12/9/2010
3/10/2011
6/16/2011
9/8/2011
12/8/2011
3/8/2012
6/14/2012
9/4/2012
12/6/2012
3/7/2013
6/14/2013
5/14/2014
8/11/2014
11/7/2014
3/25/2015
4/29/2015
8/12/2015
10/28/2015
