GTY
LATEST_ANNOUNCEMENT_DT
6/13/1998
7/31/1998
10/31/1998
3/17/1999
4/30/1999
7/31/1999
12/4/1999
3/16/2000
5/14/2001
8/14/2001
11/7/2001
3/30/2001
5/14/2001
8/14/2001
11/7/2001
2/13/2002
5/2/2002
8/5/2002
11/4/2002
2/3/2003
5/12/2003
8/11/2003
11/3/2003
2/3/2004
4/27/2004
8/2/2004
11/1/2004
2/14/2005
5/4/2005
8/1/2005
10/31/2005
2/6/2006
5/2/2006
8/1/2006
10/31/2006
2/6/2007
5/1/2007
8/7/2007
10/30/2007
3/18/2008
5/6/2008
7/29/2008
10/28/2008
2/10/2009
5/5/2009
8/4/2009
11/3/2009
2/18/2010
5/6/2010
8/3/2010
10/26/2010
2/15/2011
5/10/2011
7/28/2011
10/31/2011
3/16/2012
5/7/2012
8/1/2012
11/8/2012
2/28/2013
5/2/2013
8/7/2013
11/5/2013
3/4/2014
5/7/2014
8/6/2014
11/3/2014
3/4/2015
5/11/2015
8/10/2015
11/4/2015
3/9/2016
05/04/2016
08/04/2016
10/26/2016
03/01/2017
05/03/2017
