BIG
LATEST_ANNOUNCEMENT_DT
2/2/1991
2/1/1992
5/18/1992
8/18/1992
11/17/1992
2/23/1993
5/18/1993
8/16/1993
11/15/1993
2/22/1994
5/18/1994
8/15/1994
11/15/1994
2/21/1995
5/15/1995
8/15/1995
11/14/1995
2/27/1996
5/13/1996
8/20/1996
11/19/1996
2/25/1997
5/19/1997
8/19/1997
11/19/1997
2/23/1998
5/20/1998
8/19/1998
11/18/1998
2/23/1999
5/19/1999
8/18/1999
11/17/1999
2/23/2000
5/17/2000
8/16/2000
11/15/2000
2/28/2001
5/23/2001
8/22/2001
11/21/2001
2/27/2002
5/21/2002
8/21/2002
11/20/2002
2/26/2003
5/20/2003
8/20/2003
11/19/2003
2/25/2004
5/19/2004
8/18/2004
11/17/2004
2/23/2005
5/17/2005
8/17/2005
11/21/2005
2/22/2006
5/25/2006
8/16/2006
11/16/2006
3/9/2007
5/31/2007
8/29/2007
11/30/2007
3/5/2008
5/29/2008
8/26/2008
12/5/2008
3/4/2009
5/28/2009
8/25/2009
12/4/2009
3/3/2010
5/27/2010
8/24/2010
12/3/2010
3/3/2011
5/26/2011
8/25/2011
12/2/2011
3/2/2012
5/23/2012
8/23/2012
12/4/2012
3/6/2013
5/30/2013
8/30/2013
12/5/2013
3/7/2014
5/30/2014
8/29/2014
12/5/2014
3/6/2015
5/29/2015
8/28/2015
12/04/2015
03/04/2016
05/27/2016
08/26/2016
12/02/2016
03/03/2017
05/26/2017
