SCL
LATEST_ANNOUNCEMENT_DT
4/18/1996
7/23/1996
10/22/1996
2/6/1997
4/18/1997
7/17/1997
10/16/1997
1/27/1998
4/21/1998
7/21/1998
10/21/1998
2/17/1999
4/30/1999
7/20/1999
10/21/1999
2/15/2000
4/25/2000
7/27/2000
10/24/2000
2/21/2001
4/24/2001
7/24/2001
10/24/2001
2/13/2002
4/24/2002
8/1/2002
11/7/2002
2/12/2003
4/29/2003
7/25/2003
10/24/2003
2/11/2004
4/28/2004
7/27/2004
10/27/2004
2/10/2005
4/26/2005
7/20/2005
10/20/2005
2/14/2006
4/25/2006
7/19/2006
10/20/2006
2/13/2007
4/24/2007
7/31/2007
10/31/2007
2/12/2008
4/22/2008
7/29/2008
10/22/2008
2/10/2009
4/21/2009
7/28/2009
10/20/2009
2/9/2010
4/20/2010
7/27/2010
10/20/2010
2/8/2011
5/3/2011
7/27/2011
10/19/2011
2/14/2012
4/24/2012
7/25/2012
10/24/2012
2/19/2013
4/30/2013
7/24/2013
10/21/2013
2/18/2014
4/29/2014
7/23/2014
10/22/2014
2/18/2015
4/28/2015
7/22/2015
10/21/2015
2/24/2016
04/26/2016
07/20/2016
10/18/2016
02/22/2017
04/25/2017
