TXI
LATEST_ANNOUNCEMENT_DT
3/15/1996
7/12/1996
9/18/1996
12/19/1996
3/20/1997
7/16/1997
9/17/1997
12/16/1997
3/25/1998
7/15/1998
9/16/1998
12/16/1998
3/17/1999
7/16/1999
9/23/1999
12/16/1999
3/16/2000
7/13/2000
9/21/2000
12/19/2000
3/22/2001
7/11/2001
9/20/2001
12/19/2001
3/21/2002
7/9/2002
9/18/2002
12/19/2002
3/20/2003
7/15/2003
9/18/2003
12/18/2003
3/25/2004
7/13/2004
9/23/2004
12/16/2004
3/24/2005
7/13/2005
9/22/2005
1/5/2006
3/30/2006
7/12/2006
9/28/2006
1/4/2007
3/29/2007
7/12/2007
9/27/2007
1/4/2008
3/27/2008
7/10/2008
9/25/2008
1/8/2009
3/26/2009
7/15/2009
9/24/2009
1/7/2010
3/25/2010
7/20/2010
9/23/2010
1/6/2011
3/23/2011
7/13/2011
9/28/2011
1/4/2012
3/28/2012
7/11/2012
9/26/2012
1/9/2013
3/27/2013
7/10/2013
10/2/2013
1/8/2014
4/2/2014
