MAFB
LATEST_ANNOUNCEMENT_DT
4/16/1996
7/26/1996
10/22/1996
1/27/1997
4/21/1997
7/22/1997
10/22/1997
1/28/1998
4/22/1998
7/21/1998
10/20/1998
1/27/1999
4/20/1999
7/21/1999
10/19/1999
1/26/2000
4/20/2000
7/20/2000
10/19/2000
1/25/2001
4/18/2001
7/19/2001
10/18/2001
1/28/2002
4/18/2002
7/18/2002
10/21/2002
1/28/2003
4/22/2003
7/23/2003
10/20/2003
1/28/2004
4/22/2004
7/23/2004
10/20/2004
1/28/2005
4/20/2005
7/21/2005
10/20/2005
1/30/2006
4/19/2006
7/21/2006
11/9/2006
1/29/2007
5/11/2007
8/9/2007
