SNI
LATEST_ANNOUNCEMENT_DT
6/11/2008
8/14/2008
10/29/2008
2/5/2009
5/8/2009
8/6/2009
11/6/2009
2/10/2010
5/6/2010
8/9/2010
11/4/2010
2/10/2011
5/5/2011
8/9/2011
11/3/2011
2/9/2012
5/3/2012
8/2/2012
11/1/2012
2/7/2013
5/2/2013
8/8/2013
11/7/2013
2/14/2014
5/8/2014
8/7/2014
11/6/2014
2/12/2015
5/7/2015
8/4/2015
11/09/2015
02/23/2016
05/05/2016
08/09/2016
11/07/2016
02/21/2017
05/04/2017
