JSIBQ
LATEST_ANNOUNCEMENT_DT
5/29/1996
8/29/1996
11/19/1996
3/14/1997
5/29/1997
9/9/1997
12/4/1997
3/30/1998
5/27/1998
9/4/1998
12/14/1998
1/29/1999
4/30/1999
7/31/1999
