WCN
LATEST_ANNOUNCEMENT_DT
7/7/1998
8/4/1998
11/2/1998
2/22/1999
5/5/1999
7/28/1999
10/27/1999
2/22/2000
4/26/2000
7/25/2000
10/24/2000
2/20/2001
4/24/2001
7/24/2001
10/23/2001
2/20/2002
4/23/2002
7/23/2002
10/22/2002
2/19/2003
4/22/2003
7/22/2003
10/22/2003
2/18/2004
4/21/2004
7/21/2004
10/20/2004
2/22/2005
4/20/2005
7/25/2005
10/25/2005
2/13/2006
4/24/2006
7/26/2006
10/23/2006
2/12/2007
4/24/2007
7/23/2007
10/22/2007
2/11/2008
4/21/2008
7/22/2008
10/21/2008
2/9/2009
4/21/2009
7/21/2009
10/26/2009
2/8/2010
4/20/2010
7/20/2010
10/19/2010
2/8/2011
4/25/2011
7/19/2011
10/18/2011
2/14/2012
4/25/2012
7/23/2012
10/22/2012
2/12/2013
4/24/2013
7/23/2013
10/22/2013
2/10/2014
4/21/2014
7/21/2014
10/21/2014
2/9/2015
4/27/2015
7/27/2015
10/26/2015
2/8/2016
04/27/2016
07/25/2016
