AQIE
LATEST_ANNOUNCEMENT_DT
6/5/1996
1/31/1997
6/13/1997
9/17/1997
12/23/1997
3/17/1998
6/15/1998
9/14/1998
2/1/1999
3/17/1999
6/15/1999
