OGE
LATEST_ANNOUNCEMENT_DT
4/28/1992
7/24/1992
10/26/1992
1/28/1993
4/26/1993
7/30/1993
10/25/1993
2/28/1994
5/2/1994
7/29/1994
10/31/1994
1/30/1995
4/25/1995
7/24/1995
10/23/1995
1/29/1996
4/22/1996
7/22/1996
10/21/1996
1/27/1997
4/28/1997
7/28/1997
10/28/1997
1/26/1998
4/27/1998
7/27/1998
10/26/1998
1/25/1999
4/26/1999
8/2/1999
11/1/1999
1/24/2000
4/26/2000
7/24/2000
10/25/2000
1/24/2001
4/23/2001
7/30/2001
10/22/2001
1/29/2002
4/29/2002
8/14/2002
11/4/2002
1/27/2003
4/30/2003
8/6/2003
11/12/2003
1/28/2004
5/5/2004
8/4/2004
11/4/2004
2/25/2005
5/4/2005
8/3/2005
11/4/2005
2/24/2006
5/3/2006
8/2/2006
11/1/2006
2/16/2007
5/2/2007
8/2/2007
11/1/2007
2/28/2008
5/7/2008
7/31/2008
10/31/2008
2/13/2009
5/6/2009
8/5/2009
10/30/2009
2/18/2010
5/6/2010
8/5/2010
10/29/2010
2/17/2011
5/5/2011
8/4/2011
11/3/2011
2/16/2012
5/3/2012
8/2/2012
11/7/2012
2/27/2013
5/2/2013
8/8/2013
11/6/2013
2/25/2014
5/1/2014
8/7/2014
11/5/2014
2/26/2015
5/7/2015
8/6/2015
11/05/2015
02/26/2016
05/05/2016
08/04/2016
11/03/2016
02/23/2017
05/04/2017
