EAT
LATEST_ANNOUNCEMENT_DT
10/21/1992
1/20/1993
4/21/1993
8/10/1993
10/20/1993
1/19/1994
4/20/1994
8/18/1994
10/18/1994
1/18/1995
4/18/1995
8/31/1995
10/18/1995
1/22/1996
4/23/1996
8/12/1996
10/17/1996
1/28/1997
4/23/1997
7/29/1997
10/22/1997
1/27/1998
4/21/1998
7/30/1998
10/21/1998
1/26/1999
4/15/1999
8/10/1999
10/20/1999
1/20/2000
4/25/2000
8/8/2000
10/19/2000
1/23/2001
4/24/2001
8/8/2001
10/23/2001
1/23/2002
4/23/2002
8/7/2002
10/22/2002
1/22/2003
4/23/2003
8/6/2003
10/21/2003
1/20/2004
4/20/2004
8/11/2004
10/26/2004
1/25/2005
4/26/2005
8/11/2005
10/26/2005
1/24/2006
4/25/2006
8/10/2006
10/24/2006
1/23/2007
4/24/2007
8/8/2007
10/23/2007
1/23/2008
4/22/2008
8/5/2008
10/21/2008
1/22/2009
4/21/2009
8/6/2009
10/20/2009
1/20/2010
4/20/2010
8/12/2010
10/27/2010
1/25/2011
4/27/2011
8/11/2011
10/26/2011
1/24/2012
4/23/2012
8/9/2012
10/24/2012
1/22/2013
4/23/2013
8/2/2013
10/23/2013
1/22/2014
4/23/2014
8/7/2014
10/21/2014
1/28/2015
4/21/2015
8/6/2015
10/20/2015
1/20/2016
04/19/2016
08/04/2016
10/25/2016
01/25/2017
04/25/2017
