SYD
LATEST_ANNOUNCEMENT_DT
12/22/2000
1/29/2001
4/30/2001
7/30/2001
12/21/2001
1/28/2002
4/29/2002
7/29/2002
11/18/2002
1/27/2003
4/28/2003
7/28/2003
11/17/2003
1/26/2004
4/27/2004
7/26/2004
11/15/2004
1/24/2005
4/25/2005
8/1/2005
12/12/2005
2/7/2006
5/10/2006
