KRON
LATEST_ANNOUNCEMENT_DT
4/18/1996
7/16/1996
10/25/1996
1/17/1997
4/16/1997
7/23/1997
10/31/1997
1/23/1998
4/22/1998
7/23/1998
10/27/1998
1/25/1999
4/15/1999
7/21/1999
10/27/1999
1/26/2000
4/18/2000
7/18/2000
10/25/2000
1/23/2001
4/24/2001
7/23/2001
10/24/2001
1/23/2002
4/23/2002
7/23/2002
10/29/2002
1/27/2003
4/24/2003
7/24/2003
10/28/2003
1/29/2004
4/26/2004
7/27/2004
11/1/2004
1/27/2005
4/27/2005
7/28/2005
10/26/2005
1/30/2006
4/26/2006
7/27/2006
10/30/2006
1/29/2007
5/1/2007
