QCOR
LATEST_ANNOUNCEMENT_DT
6/7/1996
10/2/1996
12/6/1996
3/7/1997
5/27/1997
9/18/1997
12/9/1997
3/2/1998
6/1/1998
9/10/1998
12/10/1998
6/7/1999
9/20/1999
5/9/2000
8/11/2000
11/9/2000
4/20/2001
5/15/2001
8/8/2001
11/5/2001
2/14/2002
5/9/2002
8/8/2002
11/7/2002
2/27/2003
5/15/2003
8/14/2003
10/21/2003
3/3/2004
4/29/2004
8/6/2004
11/4/2004
3/9/2005
5/10/2005
8/11/2005
10/27/2005
3/9/2006
5/9/2006
8/8/2006
11/2/2006
3/12/2007
5/10/2007
8/9/2007
11/12/2007
3/3/2008
4/30/2008
7/24/2008
10/30/2008
2/24/2009
4/28/2009
7/29/2009
11/2/2009
3/1/2010
4/29/2010
7/28/2010
10/28/2010
2/23/2011
4/26/2011
7/26/2011
10/25/2011
2/22/2012
4/24/2012
7/24/2012
10/23/2012
2/26/2013
4/30/2013
7/30/2013
10/29/2013
2/25/2014
4/28/2014
7/24/2014
