JAH
LATEST_ANNOUNCEMENT_DT
4/26/1993
7/20/1993
10/20/1993
1/24/1994
4/21/1994
7/25/1994
10/24/1994
1/30/1995
4/26/1995
7/28/1995
10/26/1995
1/29/1996
4/23/1996
7/30/1996
10/24/1996
2/3/1997
4/17/1997
7/22/1997
10/30/1997
2/2/1998
4/17/1998
7/21/1998
10/28/1998
2/1/1999
4/19/1999
7/22/1999
10/25/1999
1/31/2000
4/24/2000
7/26/2000
10/20/2000
2/6/2001
4/24/2001
7/25/2001
11/8/2001
2/8/2002
5/6/2002
7/29/2002
10/28/2002
2/10/2003
4/28/2003
7/28/2003
10/27/2003
2/12/2004
4/29/2004
7/26/2004
10/29/2004
2/17/2005
5/5/2005
7/28/2005
10/27/2005
2/14/2006
5/4/2006
7/27/2006
10/26/2006
2/14/2007
4/25/2007
7/30/2007
10/30/2007
2/14/2008
5/8/2008
7/29/2008
10/30/2008
2/11/2009
4/21/2009
7/22/2009
10/28/2009
2/16/2010
4/29/2010
8/3/2010
10/28/2010
2/16/2011
4/27/2011
7/27/2011
10/26/2011
2/15/2012
4/25/2012
7/24/2012
10/24/2012
2/14/2013
4/24/2013
7/25/2013
10/30/2013
2/13/2014
5/1/2014
7/24/2014
10/23/2014
2/12/2015
4/23/2015
7/29/2015
10/29/2015
04/28/2016
