ACXM
LATEST_ANNOUNCEMENT_DT
5/6/1996
7/15/1996
10/10/1996
1/13/1997
4/30/1997
7/14/1997
10/13/1997
1/13/1998
5/6/1998
7/21/1998
10/20/1998
1/19/1999
5/11/1999
7/20/1999
10/26/1999
1/24/2000
5/3/2000
7/26/2000
10/23/2000
1/22/2001
5/15/2001
7/23/2001
10/23/2001
1/22/2002
5/15/2002
7/23/2002
10/22/2002
1/22/2003
5/14/2003
7/23/2003
10/22/2003
1/21/2004
5/12/2004
7/20/2004
10/20/2004
1/19/2005
5/11/2005
7/20/2005
10/19/2005
1/25/2006
5/17/2006
7/26/2006
10/25/2006
1/24/2007
5/16/2007
7/25/2007
10/24/2007
1/23/2008
5/14/2008
7/30/2008
10/29/2008
1/29/2009
5/13/2009
7/29/2009
10/28/2009
1/28/2010
5/13/2010
7/28/2010
10/27/2010
1/26/2011
5/11/2011
7/27/2011
10/26/2011
1/31/2012
5/15/2012
7/30/2012
10/25/2012
1/30/2013
5/15/2013
7/31/2013
11/6/2013
1/29/2014
5/14/2014
8/4/2014
11/3/2014
2/4/2015
5/21/2015
8/5/2015
11/4/2015
2/4/2016
05/17/2016
08/04/2016
11/07/2016
01/31/2017
05/16/2017
