,GMEB,US,Equity,,,
GMEB,11/01/2005,32.32,32.95,32.09,32.39,167400
GMEB,11/02/2005,32.25,32.85,32.192,32.78,299900
GMEB,11/03/2005,32.95,33.61,32.95,33.38,239300
GMEB,11/04/2005,33.61,33.61,32.9,33.35,114600
GMEB,11/07/2005,33.34,33.84,32.96,33.8,152300
GMEB,11/08/2005,33.55,33.55,32.89,33.1,99200
GMEB,11/09/2005,33.1,33.75,32.97,33.48,270300
GMEB,11/10/2005,33.48,33.48,32.24,33.21,548100
GMEB,11/11/2005,33,33.11,32.46,32.56,101900
GMEB,11/14/2005,32.45,33.04,31.52,32.79,130500
GMEB,11/15/2005,32.84,32.84,31.98,32.07,45100
GMEB,11/16/2005,32,32.33,31.7,32.33,290700
GMEB,11/17/2005,32.43,33.17,32.35,32.6,370500
GMEB,11/18/2005,33.36,33.7,32.1,32.96,317500
GMEB,11/21/2005,32.95,34.51,32.9,34.51,496600
GMEB,11/22/2005,34.5,34.81,33.06,33.92,1138400
GMEB,11/23/2005,33.92,33.92,32.67,32.77,859700
GMEB,11/25/2005,33.3,34.36,32.99,33.86,96700
GMEB,11/28/2005,34.2,34.2,32.58,32.59,333700
GMEB,11/29/2005,33.5,34.8,32.24,32.52,403700
GMEB,11/30/2005,32.52,32.52,30.631,31.4,681000
GMEB,12/01/2005,31.52,31.54,30.4,31.25,309900
GMEB,12/02/2005,31.75,32.48,31.52,32.45,152800
GMEB,12/05/2005,32.41,32.74,32.11,32.2,105700
GMEB,12/06/2005,32.36,32.59,32.13,32.24,112400
GMEB,12/07/2005,32.31,32.31,31.49,31.7,85700
GMEB,12/08/2005,31.9,32.49,31.74,32,64900
GMEB,12/09/2005,32,32,30.9,31.35,188800
GMEB,12/12/2005,31.6,31.7,31.4,31.52,61100
GMEB,12/13/2005,31.52,31.52,30.03,30.2,72600
GMEB,12/14/2005,30.2,30.4,30.08,30.24,203700
GMEB,12/15/2005,30,30,28.85,29.05,254700
GMEB,12/16/2005,29.05,29.1,28.33,28.33,262900
GMEB,12/19/2005,28.55,28.96,28.1,28.15,236300
GMEB,12/20/2005,28.07,28.14,27.44,27.5,193400
GMEB,12/21/2005,28.5,28.68,27.8,28,368900
GMEB,12/22/2005,27.8,27.8,27.46,27.63,149400
GMEB,12/23/2005,27.35,27.92,27.35,27.55,157500
GMEB,12/27/2005,27.6,27.91,27.2,27.8,134400
GMEB,12/28/2005,27.86,29.05,27.86,28.75,121900
GMEB,12/29/2005,28.69,28.9,28.56,28.75,63400
GMEB,12/30/2005,28.69,29.11,28.65,28.9,61500
GMEB,01/03/2006,28.92,29.6,28.4,29.5,110000
GMEB,01/04/2006,29.47,30.42,29.37,30.41,112700
GMEB,01/05/2006,35,35,34.02,34.3,469500
GMEB,01/06/2006,34.31,35.55,34,35.3,149200
GMEB,01/09/2006,35.291,35.41,34.2,35.07,122900
GMEB,01/10/2006,34.75,35.56,34.48,35.5,56000
GMEB,01/11/2006,35.4,36.01,35.03,35.87,64000
GMEB,01/12/2006,35.5,35.82,35,35.22,49200
GMEB,01/13/2006,35.15,35.8,34.94,35.18,81900
GMEB,01/17/2006,34.72,35.33,34.64,35.29,82900
GMEB,01/18/2006,35.29,35.5,34.7,35.06,122500
GMEB,01/19/2006,34.95,35.67,34.95,35.62,115700
GMEB,01/20/2006,35.62,35.62,34.98,35.17,153200
GMEB,01/23/2006,35.13,35.21,34.57,35,163300
GMEB,01/24/2006,34.8,35.38,34.8,35.05,20400
GMEB,01/25/2006,35.04,35.4,34.75,35.32,48800
GMEB,01/26/2006,35.57,35.87,35.32,35.8,142800
GMEB,01/27/2006,35.86,37.85,35.7,36.2,131600
GMEB,01/30/2006,36.19,36.7,36.19,36.59,20400
GMEB,01/31/2006,36.7,37.3,36.35,37.24,103900
GMEB,02/01/2006,37.215,38.89,37.15,38.85,229700
GMEB,02/02/2006,38.7,38.76,37.79,38.72,131600
GMEB,02/03/2006,38.67,40.2,38.59,39.31,153900
GMEB,02/06/2006,39.25,39.7,39.03,39.56,50200
GMEB,02/07/2006,39.58,39.85,38.54,38.67,78900
GMEB,02/08/2006,38.65,38.65,37,38.52,83500
GMEB,02/09/2006,38.33,38.91,37.15,37.15,37500
GMEB,02/10/2006,37.16,37.26,36.66,37.08,135000
GMEB,02/13/2006,36.98,37.65,36.6,36.75,39300
GMEB,02/14/2006,36.87,37.14,36.23,37.02,71300
GMEB,02/15/2006,37.04,38.18,37.01,37.2,96000
GMEB,02/16/2006,37.24,38.44,36.99,38.3,53900
GMEB,02/17/2006,38.25,38.4,37.6,37.7,60200
GMEB,02/21/2006,37.7,37.91,36.84,37.12,48100
GMEB,02/22/2006,36.99,38.4,36.94,37.47,95900
GMEB,02/23/2006,37.3,37.3,36.43,36.5,78300
GMEB,02/24/2006,36.42,36.7,36.25,36.54,51300
GMEB,02/27/2006,36.4,36.96,36.4,36.47,55100
GMEB,02/28/2006,36.47,36.64,35.97,36.51,44800
GMEB,03/01/2006,36.51,37.5,36.51,37.48,65700
GMEB,03/02/2006,37.25,37.58,36.73,36.79,24500
GMEB,03/03/2006,36.65,37.61,36.63,37.48,72400
GMEB,03/06/2006,37.3,38.05,36.98,37.33,64000
GMEB,03/07/2006,36.83,37.25,36.23,36.59,53700
GMEB,03/08/2006,36.44,36.44,35.1,35.14,81700
GMEB,03/09/2006,35.2,35.83,34.7,34.82,97700
GMEB,03/10/2006,34.73,35.56,33.9,35.35,73600
GMEB,03/13/2006,35.3,36.19,35.3,35.74,78400
GMEB,03/14/2006,35.94,37.38,35.69,37.2,144700
GMEB,03/15/2006,37.06,38.01,36.34,36.5,129600
GMEB,03/16/2006,36.45,37.47,36.39,36.69,20800
GMEB,03/17/2006,36.77,37.8,36.77,37.65,44400
GMEB,03/20/2006,37.9,38.09,37.2,37.96,87200
GMEB,03/21/2006,41,42.24,40.42,41.29,279000
GMEB,03/22/2006,41.1,41.82,40.59,41.6,78500
GMEB,03/23/2006,41.2,42.08,41.06,41.29,165100
GMEB,03/24/2006,41.35,43.16,41.14,43.16,108800
GMEB,03/27/2006,42.7,44.05,42.54,43.39,105000
GMEB,03/28/2006,43.35,43.77,42.57,42.78,157200
GMEB,03/29/2006,42.78,44.03,42.68,43.36,186200
GMEB,03/30/2006,43.46,44.05,43.25,43.38,356100
GMEB,03/31/2006,43.38,43.74,43.03,43.32,146300
GMEB,04/03/2006,43.32,44.52,42.47,42.79,99600
GMEB,04/04/2006,43.04,44.46,42.76,44.46,81000
GMEB,04/05/2006,44.3,45.5,44.3,44.92,75700
GMEB,04/06/2006,44.68,45.3,44.42,45.27,125700
GMEB,04/07/2006,45.4,45.68,44.72,45.24,97800
GMEB,04/10/2006,45.21,45.65,44.46,44.64,285600
GMEB,04/11/2006,43.04,43.11,42.64,43.05,71700
GMEB,04/12/2006,42.85,43.35,42.73,43.11,165400
GMEB,04/13/2006,42.91,43.15,42.73,42.92,104400
GMEB,04/17/2006,42.82,42.82,41.92,42.45,83500
GMEB,04/18/2006,42.6,42.83,41.85,42.82,156600
GMEB,04/19/2006,42.57,43.1,42.42,43.1,66600
GMEB,04/20/2006,42.85,43.8,42.81,43.5,69700
GMEB,04/21/2006,43.9,43.9,42.48,42.56,31400
GMEB,04/24/2006,42.68,42.72,42.24,42.6,91900
GMEB,04/25/2006,42.66,43.1,42.43,42.58,37700
GMEB,04/26/2006,42.74,43.35,42.69,42.83,162600
GMEB,04/27/2006,42.7,43.15,41.45,42.88,216000
GMEB,04/28/2006,42.78,43.25,42.28,42.47,293500
GMEB,05/01/2006,42.58,43.41,42.58,42.72,269500
GMEB,05/02/2006,43.25,43.74,43.01,43.41,138100
GMEB,05/03/2006,43.45,43.64,43.15,43.3,54800
GMEB,05/04/2006,43.05,43.45,42.01,43.09,117600
GMEB,05/05/2006,42.99,44.09,42.99,43.79,94400
GMEB,05/08/2006,43.6,43.75,43.04,43.08,21200
GMEB,05/09/2006,42.98,43.6,42.87,43.13,57600
GMEB,05/10/2006,43.05,43.05,41.85,42.12,27100
GMEB,05/11/2006,41.87,42.05,40.19,40.42,124400
GMEB,05/12/2006,40.42,40.5,39.508,39.66,148800
GMEB,05/15/2006,39.65,39.65,37.92,39.36,164800
GMEB,05/16/2006,39.91,42.01,39.91,40.33,116600
GMEB,05/17/2006,41,41.25,40.41,40.6,134000
GMEB,05/18/2006,43.03,43.07,41.08,41.21,201800
GMEB,05/19/2006,41.34,41.7,39.9,40.55,85300
GMEB,05/22/2006,39.91,40.34,38.27,39.58,127700
GMEB,05/23/2006,39.78,40,39.1,39.23,33500
GMEB,05/24/2006,39.38,39.8,37.24,38.12,49000
GMEB,05/25/2006,38.65,39.76,38.53,39.39,44100
GMEB,05/26/2006,39.29,39.79,39.06,39.19,32900
GMEB,05/30/2006,39.19,39.19,38.13,38.22,25500
GMEB,05/31/2006,38.47,39.18,38.41,38.65,113200
GMEB,06/01/2006,38.85,39.92,38.52,39.9,140900
GMEB,06/02/2006,40.05,40.09,39.1,39.45,24800
GMEB,06/05/2006,39.44,39.44,36.93,36.95,94400
GMEB,06/06/2006,37.32,37.68,36.59,37.57,74900
GMEB,06/07/2006,37.5,38.38,37.28,37.48,118300
GMEB,06/08/2006,37.4,37.41,35.14,37.41,206700
GMEB,06/09/2006,37.5,38.26,37.37,37.9,234500
GMEB,06/12/2006,38.15,38.15,35.34,36.54,110900
GMEB,06/13/2006,36.29,37,32.93,35.96,190700
GMEB,06/14/2006,36.51,37.52,36.12,36.73,44300
GMEB,06/15/2006,36.74,37.86,35.46,37.73,87700
GMEB,06/16/2006,37.5,37.5,35.69,35.99,79500
GMEB,06/19/2006,35.98,35.98,34.48,34.55,88300
GMEB,06/20/2006,34.56,34.56,33.3,33.32,134900
GMEB,06/21/2006,33.22,35.09,33.2,35.09,116700
GMEB,06/22/2006,34.8,34.8,32.9,33.25,88900
GMEB,06/23/2006,33.42,34.51,33.14,34.09,114500
GMEB,06/26/2006,34.06,34.54,33.04,33.78,128700
GMEB,06/27/2006,33.78,34,32.84,33.25,99200
GMEB,06/28/2006,33.75,33.75,32.97,33.59,177500
GMEB,06/29/2006,33.77,35.28,33.77,35.19,137100
GMEB,06/30/2006,35.05,35.95,33.61,34.25,1129700
GMEB,07/03/2006,35,35.92,35,35.7,240400
GMEB,07/05/2006,35.6,35.6,34.3,35.02,222400
GMEB,07/06/2006,35.15,35.57,34.77,35.16,46500
GMEB,07/07/2006,35.16,35.16,33.97,34.05,49000
GMEB,07/10/2006,34.2,34.24,33.12,33.39,81400
GMEB,07/11/2006,33.58,33.63,32.88,33.57,84500
GMEB,07/12/2006,33.64,33.84,32.58,33.1,99500
GMEB,07/13/2006,33.1,35.5,33.1,35.28,264600
GMEB,07/14/2006,35.28,35.89,34.52,35.2,236400
GMEB,07/17/2006,35.19,35.3,33.85,33.97,201900
GMEB,07/18/2006,34.81,35.51,34.47,35.3,199700
GMEB,07/19/2006,35.32,37.11,35.27,36.67,594900
GMEB,07/20/2006,36.63,36.92,34.35,34.93,289000
GMEB,07/21/2006,35.05,35.05,33.78,34,198500
GMEB,07/24/2006,34.25,35.29,34.25,35.22,107000
GMEB,07/25/2006,35.14,36.29,35.14,36.29,63700
GMEB,07/26/2006,36.15,36.92,35.97,36.9,85600
GMEB,07/27/2006,37,38.19,36.6,36.83,90700
GMEB,07/28/2006,36.88,38.46,36.88,38.1,112900
GMEB,07/31/2006,38.1,38.1,37.59,37.6,57000
GMEB,08/01/2006,37.46,37.46,36.25,36.57,133100
GMEB,08/02/2006,36.91,39.32,36.91,39.01,248500
GMEB,08/03/2006,38.83,40.56,38.65,40.32,148700
GMEB,08/04/2006,41.25,41.71,39.52,40.24,186800
GMEB,08/07/2006,40.05,40.82,39.37,40.61,83700
GMEB,08/08/2006,40.86,41.22,40.31,40.31,29800
GMEB,08/09/2006,40.56,40.75,39.87,39.89,55300
GMEB,08/10/2006,39.7,40.82,39.7,40.5,154700
GMEB,08/11/2006,40.75,42.9,40.75,42.34,198900
GMEB,08/14/2006,42.6,42.85,41.84,42,67900
GMEB,08/15/2006,41.8,42.98,41.8,42.3,87100
GMEB,08/16/2006,42.45,43.3,42.17,43.18,750700
GMEB,08/17/2006,40.1,42.98,39.43,41.56,780600
GMEB,08/18/2006,41.3,41.6,40.33,40.6,179200
