,GMEB,US,Equity,,,
,Date,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
,10/29/2004,19.75,19.75,19.2,19.5,27600
GMEB,11/01/2004,19.6,19.6,19.6,19.6,100
GMEB,11/03/2004,19.75,19.81,19.75,19.81,30000
GMEB,11/04/2004,19.7,19.9,19.7,19.9,1200
GMEB,11/05/2004,21,21.5,21,21.5,700
GMEB,11/08/2004,22,22.5,22,22.5,300
GMEB,11/09/2004,22.5,22.5,22.5,22.5,700
GMEB,11/10/2004,22.5,22.5,22.2,22.2,900
GMEB,11/11/2004,22,22,21.65,21.75,3100
GMEB,11/12/2004,22,24,22,24,1507700
GMEB,11/15/2004,23.52,23.85,23.14,23.5,1181300
GMEB,11/16/2004,23.25,23.4,22.66,22.99,987700
GMEB,11/17/2004,22.9,23.22,22.23,22.3,1124700
GMEB,11/18/2004,22.1,22.13,21.6,22,1000600
GMEB,11/19/2004,21.32,21.32,20.75,20.8,534300
GMEB,11/22/2004,20.5,20.5,19.57,19.57,1243200
GMEB,11/23/2004,20.4,21.55,20.37,20.6,960800
GMEB,11/24/2004,20.85,21.58,20.85,21.52,114800
GMEB,11/26/2004,21.46,21.9,21.46,21.71,23800
GMEB,11/29/2004,22,22.2,21.4,21.55,253600
GMEB,11/30/2004,21.5,21.95,21.09,21.22,331300
GMEB,12/01/2004,21,21.35,20.85,21.05,222500
GMEB,12/02/2004,21.04,21.46,21.01,21.23,338300
GMEB,12/03/2004,21.25,21.25,20.95,21.2,325500
GMEB,12/06/2004,21.2,21.3,21.03,21.2,361400
GMEB,12/07/2004,21.2,21.245,21,21.2,246300
GMEB,12/08/2004,21.2,21.5,21.05,21.16,480700
GMEB,12/09/2004,21.4,21.6,20.52,21.29,443700
GMEB,12/10/2004,21.15,21.74,20.9,21.73,469800
GMEB,12/13/2004,21.7,21.92,21.23,21.62,165500
GMEB,12/14/2004,21.55,21.62,21.06,21.2,330100
GMEB,12/15/2004,21.2,21.35,21.07,21.2,328500
GMEB,12/16/2004,21.15,21.6,21.13,21.45,159400
GMEB,12/17/2004,21.2,21.44,20.85,21.27,208300
GMEB,12/20/2004,21.27,21.27,20.6,20.85,153900
GMEB,12/21/2004,20.9,21.2,20.9,21.18,269900
GMEB,12/22/2004,21,22.02,21,21.91,182800
GMEB,12/23/2004,21.81,22,21.38,21.5,82800
GMEB,12/27/2004,21.59,22.03,21.25,21.3,99700
GMEB,12/28/2004,21.37,22.25,21.28,22.14,152100
GMEB,12/29/2004,22.15,22.36,22.05,22.3,141800
GMEB,12/30/2004,22.5,22.66,22.26,22.46,91500
GMEB,12/31/2004,22.4,22.5,22.3,22.41,80200
GMEB,01/03/2005,22.6,22.81,21.26,21.55,363400
GMEB,01/04/2005,21.58,21.62,20.8,21.37,320800
GMEB,01/05/2005,21.25,21.52,21,21.35,126600
GMEB,01/06/2005,21.2,21.43,21.17,21.33,597700
GMEB,01/07/2005,19.7,19.95,19,19.59,438800
GMEB,01/10/2005,19.35,19.8,19.35,19.78,218100
GMEB,01/11/2005,19.7,19.7,19.32,19.45,235400
GMEB,01/12/2005,19.35,19.44,18.95,19.2,171100
GMEB,01/13/2005,19.14,19.28,19.04,19.15,170200
GMEB,01/14/2005,19.13,19.23,18.95,19.2,113800
GMEB,01/18/2005,19.1,19.46,19.02,19.4,53300
GMEB,01/19/2005,19.5,19.82,19.4,19.6,202400
GMEB,01/20/2005,19.43,19.65,19.42,19.42,125400
GMEB,01/21/2005,19.3,19.53,19.21,19.28,210900
GMEB,01/24/2005,19.28,19.35,18.86,18.94,145700
GMEB,01/25/2005,18.99,19.14,18.92,18.94,159400
GMEB,01/26/2005,18.94,19.41,18.9,19.39,89500
GMEB,01/27/2005,19.3,19.48,19.2,19.4,86600
GMEB,01/28/2005,19.3,19.34,18.75,18.75,210700
GMEB,01/31/2005,19,19.41,18.97,19.4,224400
GMEB,02/01/2005,19.3,19.61,19.3,19.52,173600
GMEB,02/02/2005,19.48,20.37,19.48,20.37,179600
GMEB,02/03/2005,20.3,20.3,19.7108,19.9,128800
GMEB,02/04/2005,19.8,20.08,19.76,20.01,76300
GMEB,02/07/2005,19.55,19.9,19.55,19.8,104100
GMEB,02/08/2005,19.75,19.9,19.65,19.89,149500
GMEB,02/09/2005,19.75,20,19.3,19.35,98700
GMEB,02/10/2005,19.28,19.48,19.17,19.29,75800
GMEB,02/11/2005,19.2,19.6,19.06,19.49,75100
GMEB,02/14/2005,19.35,19.54,19.27,19.54,32700
GMEB,02/15/2005,19.54,19.84,19.48,19.77,72300
GMEB,02/16/2005,19.82,20.19,19.82,20.08,145100
GMEB,02/17/2005,20.25,20.3,19.84,19.93,96100
GMEB,02/18/2005,20.1,20.1,19.43,19.8,59000
GMEB,02/22/2005,19.55,19.8,18.85,18.9,122000
GMEB,02/23/2005,19,19.06,18.86,18.98,89200
GMEB,02/24/2005,18.83,19,18.65,18.8,112900
GMEB,02/25/2005,18.75,19.46,18.75,19.4,41600
GMEB,02/28/2005,19.3,19.8,19.3,19.56,129400
GMEB,03/01/2005,19.56,20.58,19.56,20.28,185900
GMEB,03/02/2005,20.24,20.43,20.12,20.27,104800
GMEB,03/03/2005,20.7,20.7,20.1,20.45,127800
GMEB,03/04/2005,20.5,20.84,20.3,20.78,56100
GMEB,03/07/2005,20.78,21.13,20.68,20.8,66300
GMEB,03/08/2005,20.75,20.92,20.41,20.6,82300
GMEB,03/09/2005,20.55,20.58,20.3,20.31,119700
GMEB,03/10/2005,20.36,20.5,20.21,20.3,91200
GMEB,03/11/2005,20.37,20.46,20.11,20.34,58200
GMEB,03/14/2005,20.34,20.34,19.65,19.77,62000
GMEB,03/15/2005,19.62,21.37,19.62,21.1,132100
GMEB,03/16/2005,21.1,21.18,20.68,20.8,47000
GMEB,03/17/2005,20.7,21.16,20.63,21.16,73700
GMEB,03/18/2005,21.16,21.2,20.84,21,218500
GMEB,03/21/2005,20.96,21.05,20.52,20.6,65500
GMEB,03/22/2005,20.5,20.5,19.59,19.64,234700
GMEB,03/23/2005,20.5,22.42,20.5,21.8,361300
GMEB,03/24/2005,21.85,22.93,21.66,22.55,321900
GMEB,03/28/2005,23.05,23.6,23.05,23.41,151400
GMEB,03/29/2005,23.5,23.51,22.45,22.45,82300
GMEB,03/30/2005,22.48,22.82,22.27,22.82,60100
GMEB,03/31/2005,22.65,22.72,21.93,22.3,106000
GMEB,04/01/2005,22.45,22.55,21.54,21.55,109200
GMEB,04/04/2005,21.55,21.61,21.37,21.54,289000
GMEB,04/05/2005,21.47,21.95,21.47,21.67,145800
GMEB,04/06/2005,21.8,22.08,21.4,21.4,153400
GMEB,04/07/2005,21.2,21.85,21.02,21.7,109100
GMEB,04/08/2005,21.74,22.01,21.3,21.32,117900
GMEB,04/11/2005,21.32,21.37,20.97,20.99,129900
GMEB,04/12/2005,21,21.78,21,21.78,241700
GMEB,04/13/2005,21.64,21.69,21.1,21.21,57600
GMEB,04/14/2005,21.29,21.44,20.46,20.5,65600
GMEB,04/15/2005,20.51,21.31,20.51,21.18,104500
GMEB,04/18/2005,20.8,25.2,20.8,23.05,493800
GMEB,04/19/2005,23.05,23.36,22.8,23.3,158000
GMEB,04/20/2005,23.35,23.36,22,22.17,118700
GMEB,04/21/2005,22.37,22.98,22.37,22.85,103100
GMEB,04/22/2005,22.86,22.92,22.48,22.8,126400
GMEB,04/25/2005,22.8,23.44,22.74,23.41,125100
GMEB,04/26/2005,23.26,23.59,23,23.21,195500
GMEB,04/27/2005,23.36,23.36,22.75,23.15,53100
GMEB,04/28/2005,23,23.63,23,23.24,101400
GMEB,04/29/2005,23.39,23.65,23.08,23.34,112100
GMEB,05/02/2005,23.3,24.56,23.3,24.4,128700
GMEB,05/03/2005,24.3,24.94,24.27,24.63,145800
GMEB,05/04/2005,24.2,24.81,24,24.49,113000
GMEB,05/05/2005,24.45,25.25,24.32,24.7,49100
GMEB,05/06/2005,24.84,25,24.31,24.78,30000
GMEB,05/09/2005,24.79,24.85,24.4,24.85,95200
GMEB,05/10/2005,24.75,24.81,24.41,24.5,61400
GMEB,05/11/2005,24.52,24.64,23.9,24.51,64700
GMEB,05/12/2005,24.45,24.73,24.31,24.45,197500
GMEB,05/13/2005,24.45,24.45,24,24.15,85900
GMEB,05/16/2005,24,24.77,24,24.51,111200
GMEB,05/17/2005,24.4,24.95,24.32,24.72,237600
GMEB,05/18/2005,24.85,25.46,24.85,25.13,336700
GMEB,05/19/2005,25.6,26.1,25.6,25.96,180400
GMEB,05/20/2005,26,26,25.62,25.85,26100
GMEB,05/23/2005,25.98,26.7,25.98,26.4,67300
GMEB,05/24/2005,27.5,28.63,27.24,27.32,174600
GMEB,05/25/2005,27.15,27.21,26.16,26.3,45000
GMEB,05/26/2005,26.3,27,26.11,26.96,60600
GMEB,05/27/2005,26.93,27.66,26.93,27.42,103100
GMEB,05/31/2005,27.45,27.65,26.77,26.84,84700
GMEB,06/01/2005,26.75,28.05,26.65,27.97,189300
GMEB,06/02/2005,27.92,28.2,27.76,27.8,136900
GMEB,06/03/2005,27.8,29.16,27.78,28.63,221700
GMEB,06/06/2005,28.7,29.86,28.53,29.5,512300
GMEB,06/07/2005,29.76,30.14,29.15,29.3,339000
GMEB,06/08/2005,29.55,29.67,28.5,28.67,142300
GMEB,06/09/2005,30,30.1,29.38,30.07,442100
GMEB,06/10/2005,30.13,30.62,30.13,30.41,184600
GMEB,06/13/2005,30.42,30.7,30.35,30.37,70000
GMEB,06/14/2005,30.47,30.6,29.49,30.28,105300
GMEB,06/15/2005,30.5,31.39,30.15,31.39,83900
GMEB,06/16/2005,31.5,31.8,30.5,30.97,135200
GMEB,06/17/2005,31.22,31.28,30.77,31.03,537100
GMEB,06/20/2005,31.05,31.08,29.8,30.18,149900
GMEB,06/21/2005,30.18,30.25,29.53,29.6,168400
GMEB,06/22/2005,29.72,30.02,29.07,29.84,231600
GMEB,06/23/2005,29.83,30.42,29.82,29.97,104800
GMEB,06/24/2005,29.9,30.24,29.52,29.52,378100
GMEB,06/27/2005,29.62,29.68,28.96,28.97,138200
GMEB,06/28/2005,29.15,30.11,29.15,29.64,145400
GMEB,06/29/2005,29.65,30.08,29.65,30,81800
GMEB,06/30/2005,29.95,30.5,29.87,29.9,54500
GMEB,07/01/2005,30,30.56,29.9,30.25,67000
GMEB,07/05/2005,29.75,30.47,29.65,30.47,178000
GMEB,07/06/2005,30.45,31.31,30.45,31.01,82700
GMEB,07/07/2005,30.76,31.62,30.61,31.57,138100
GMEB,07/08/2005,31.7,32.84,31.7,32.7,159900
GMEB,07/11/2005,32.8,33.39,32.78,33.3,256800
GMEB,07/12/2005,33.6,33.72,33.26,33.52,74000
GMEB,07/13/2005,33.7,33.76,32.92,33.1,114700
GMEB,07/14/2005,32.85,33.3,32.85,33.06,108500
GMEB,07/15/2005,33.06,33.2,32.39,32.65,77200
GMEB,07/18/2005,32.65,32.75,32.27,32.59,107400
GMEB,07/19/2005,32.7,32.95,32.3,32.7,726400
GMEB,07/20/2005,32.71,33.22,32.66,33.22,55600
GMEB,07/21/2005,33.45,33.45,32.52,32.88,67600
GMEB,07/22/2005,32.78,32.85,32.01,32.5,303500
GMEB,07/25/2005,32.52,32.64,31.9,31.9,96800
GMEB,07/26/2005,31.9,32.2,30.68,32,125500
GMEB,07/27/2005,32.35,32.74,32.26,32.65,70100
GMEB,07/28/2005,32.8,33.19,32.69,32.88,109600
GMEB,07/29/2005,32.6,32.95,31.93,32,68100
GMEB,08/01/2005,32.25,32.5,31.8,31.8,87500
GMEB,08/02/2005,31.8,32.24,31.6,32.2,239000
GMEB,08/03/2005,32.1,32.1,31.57,31.7,132600
GMEB,08/04/2005,31.69,31.7,30.89,30.99,92700
GMEB,08/05/2005,30.74,30.74,29.21,29.5,130300
GMEB,08/08/2005,29.75,29.97,29.48,29.7,58800
GMEB,08/09/2005,29.8,30.5,29.61,30.22,184300
GMEB,08/10/2005,30.24,30.85,30.15,30.43,86300
GMEB,08/11/2005,30.35,30.35,29.84,29.95,52400
GMEB,08/12/2005,29.85,29.85,28.44,28.73,89800
GMEB,08/15/2005,28.9,29.31,28.72,29.13,73700
GMEB,08/16/2005,29,29,27.4,27.62,197000
GMEB,08/17/2005,27.1,27.11,26.55,27.03,93500
GMEB,08/18/2005,27.65,29.93,26.73,29.47,232200
GMEB,08/19/2005,29.47,30.46,28.82,29.93,166400
GMEB,08/22/2005,30.6,31.1,30.25,31,229000
GMEB,08/23/2005,31.31,31.81,31.04,31.54,142700
GMEB,08/24/2005,31.55,31.55,30.86,31,140500
GMEB,08/25/2005,31,31.4,30.91,30.94,140500
GMEB,08/26/2005,30.97,30.97,30.14,30.42,113900
GMEB,08/29/2005,30.17,30.25,29.8,30.09,255100
GMEB,08/30/2005,30,30.35,29.55,29.78,255000
GMEB,08/31/2005,29.78,30.29,29.75,30.14,234300
GMEB,09/01/2005,30.38,30.53,29.79,30,90000
GMEB,09/02/2005,30.25,30.35,29.98,30.16,120500
GMEB,09/06/2005,30.4,32.1,30.4,31.95,617100
GMEB,09/07/2005,31.9,32.75,31.82,32.65,189300
GMEB,09/08/2005,32.6,32.62,32.21,32.4,97200
GMEB,09/09/2005,32.4,33.23,32.38,32.74,129400
GMEB,09/12/2005,32.74,33.3,32.65,33.21,199000
GMEB,09/13/2005,33,33.43,32.92,33.23,193700
GMEB,09/14/2005,33.35,34.93,33.29,34.02,333900
GMEB,09/15/2005,34.02,34.02,32.75,33.17,195800
GMEB,09/16/2005,33.65,33.9,33.3,33.8,536600
GMEB,09/19/2005,33.84,34,32.92,33.33,212200
GMEB,09/20/2005,33.4,33.52,32.38,32.51,181600
GMEB,09/21/2005,32.01,32.01,30.05,30.3,218300
GMEB,09/22/2005,30.29,30.6,29.37,30.6,212100
GMEB,09/23/2005,30.6,31.34,30.6,30.89,181300
GMEB,09/26/2005,31.1,31.1,30.24,30.43,245100
GMEB,09/27/2005,30.47,30.47,29.35,29.51,251200
GMEB,09/28/2005,29.55,30.27,28.8,29.57,148300
GMEB,09/29/2005,29.54,29.63,28.97,29.21,318000
GMEB,09/30/2005,29.1,29.1,27.9,28.39,182800
GMEB,10/03/2005,28.75,28.82,28.1,28.22,178100
GMEB,10/04/2005,28.2,29.46,28.1,28.67,95600
GMEB,10/05/2005,28.7,29.62,28.7,28.75,606600
GMEB,10/06/2005,28.61,28.7,27.91,28.4,508700
GMEB,10/07/2005,28.4,30.65,27.5,28.63,5351500
GMEB,10/10/2005,28.62,28.99,28.23,28.55,546800
GMEB,10/11/2005,28.55,28.66,27.9,28.03,440700
GMEB,10/12/2005,27.99,28.38,27.65,28.14,498800
GMEB,10/13/2005,28.05,28.9,27.49,28,277700
GMEB,10/14/2005,28,28.4,27.9,28.05,321900
GMEB,10/17/2005,27.9,28.88,27.9,28.72,251800
GMEB,10/18/2005,29.85,30,29.7,29.85,336400
GMEB,10/19/2005,30,31.51,29.9,31.2,488700
GMEB,10/20/2005,31.45,32,31.2,31.42,230500
GMEB,10/21/2005,31.4,32.11,31.08,31.43,129800
GMEB,10/24/2005,31.6,32,31.31,32,109100
GMEB,10/25/2005,33.25,34.45,32.5,32.57,342400
GMEB,10/26/2005,32.5,32.64,31.06,31.12,188900
GMEB,10/27/2005,31.04,31.33,29.9,30.14,103800
GMEB,10/28/2005,30.26,31.67,30.1,31.39,113700
GMEB,10/31/2005,31.39,32.7,31.39,32.34,189300
