DP
LATEST_ANNOUNCEMENT_DT
4/18/1996
7/18/1996
10/21/1996
2/19/1997
4/22/1997
7/21/1997
10/24/1997
2/18/1998
4/20/1998
7/21/1998
10/21/1998
2/18/1999
4/22/1999
7/21/1999
10/21/1999
2/17/2000
4/25/2000
7/21/2000
10/20/2000
2/16/2001
4/24/2001
7/24/2001
10/23/2001
2/15/2002
4/23/2002
7/23/2002
10/24/2002
2/13/2003
4/23/2003
7/23/2003
10/23/2003
2/13/2004
4/29/2004
7/23/2004
10/26/2004
2/10/2005
5/10/2005
7/25/2005
10/24/2005
2/10/2006
4/27/2006
